snr_dB,threshold,p_fa,p_md,p_s_eq_1,p_s_ge_2,NMC
13.0,0.5714285714285714,0.2837671,4.745e-5,0.96398775,0.03601225,20000000
13.0,0.7142857142857143,0.2374153,8.45e-5,0.96398775,0.03601225,20000000
13.0,0.8571428571428571,0.19557335,0.00015245,0.96398775,0.03601225,20000000
13.0,1.0,0.15852985,0.00025995,0.96398775,0.03601225,20000000
13.0,1.1428571428571428,0.1264523,0.0004363,0.96398775,0.03601225,20000000
13.0,1.2857142857142858,0.09917485,0.0007083,0.96398775,0.03601225,20000000
13.0,1.4285714285714286,0.0764959,0.0011514,0.96398775,0.03601225,20000000
13.0,1.5714285714285714,0.0579681,0.0018359,0.96398775,0.03601225,20000000
13.0,1.7142857142857142,0.0432287,0.0028552,0.96398775,0.03601225,20000000
13.0,1.8571428571428572,0.0316542,0.0043488,0.96398775,0.03601225,20000000
13.0,2.0,0.0227614,0.0065657,0.96398775,0.03601225,20000000
13.0,2.142857142857143,0.0160751,0.00969735,0.96398775,0.03601225,20000000
13.0,2.2857142857142856,0.01113545,0.0140398,0.96398775,0.03601225,20000000
13.0,2.4285714285714284,0.00759235,0.0199773,0.96398775,0.03601225,20000000
13.0,2.5714285714285716,0.0050823,0.02793105,0.96398775,0.03601225,20000000
13.0,2.7142857142857144,0.0033307,0.0383478,0.96398775,0.03601225,20000000
13.0,2.857142857142857,0.00214885,0.0517379,0.96398775,0.03601225,20000000
13.0,3.0,0.0013616,0.06860685,0.96398775,0.03601225,20000000
13.0,3.142857142857143,0.00084595,0.0893694,0.96398775,0.03601225,20000000
13.0,3.2857142857142856,0.0005207,0.11445815,0.96398775,0.03601225,20000000
13.0,3.4285714285714284,0.00031135,0.14410465,0.96398775,0.03601225,20000000
13.0,3.5714285714285716,0.00018295,0.1785273,0.96398775,0.03601225,20000000
13.0,3.7142857142857144,0.00010435,0.21764945,0.96398775,0.03601225,20000000
13.0,3.857142857142857,5.825e-5,0.261264,0.96398775,0.03601225,20000000
13.0,4.0,3.085e-5,0.3086897,0.96398775,0.03601225,20000000
13.0,4.142857142857143,1.605e-5,0.3595378,0.96398775,0.03601225,20000000
13.0,4.285714285714286,8.75e-6,0.4127676,0.96398775,0.03601225,20000000
13.0,4.428571428571429,4.75e-6,0.4673747,0.96398775,0.03601225,20000000
13.0,4.571428571428571,2.2e-6,0.522242,0.96398775,0.03601225,20000000
13.0,4.714285714285714,1.45e-6,0.57623685,0.96398775,0.03601225,20000000
13.0,4.857142857142857,4.5e-7,0.628361,0.96398775,0.03601225,20000000
13.0,5.0,1.5e-7,0.6777219,0.96398775,0.03601225,20000000
15.0,-2.0,0.9772883,0.0,0.96398775,0.03601225,20000000
15.0,-1.8571428571428572,0.9683872,0.0,0.96398775,0.03601225,20000000
15.0,-1.7142857142857142,0.95676515,0.0,0.96398775,0.03601225,20000000
15.0,-1.5714285714285714,0.9419674,0.0,0.96398775,0.03601225,20000000
15.0,-1.4285714285714286,0.9234096,0.0,0.96398775,0.03601225,20000000
15.0,-1.2857142857142858,0.90071345,0.0,0.96398775,0.03601225,20000000
15.0,-1.1428571428571428,0.87338905,0.0,0.96398775,0.03601225,20000000
15.0,-1.0,0.8413085,0.0,0.96398775,0.03601225,20000000
15.0,-0.8571428571428571,0.804312,0.0,0.96398775,0.03601225,20000000
15.0,-0.7142857142857143,0.76243035,0.0,0.96398775,0.03601225,20000000
15.0,-0.5714285714285714,0.7160587,0.0,0.96398775,0.03601225,20000000
15.0,-0.42857142857142855,0.66572905,0.0,0.96398775,0.03601225,20000000
15.0,-0.2857142857142857,0.61232245,0.0,0.96398775,0.03601225,20000000
15.0,-0.14285714285714285,0.5566302,0.0,0.96398775,0.03601225,20000000
15.0,0.0,0.4998853,0.0,0.96398775,0.03601225,20000000
15.0,0.14285714285714285,0.4430079,0.0,0.96398775,0.03601225,20000000
15.0,0.2857142857142857,0.3874091,0.0,0.96398775,0.03601225,20000000
15.0,0.42857142857142855,0.3339858,5.0e-8,0.96398775,0.03601225,20000000
15.0,0.5714285714285714,0.2837671,1.0e-7,0.96398775,0.03601225,20000000
15.0,0.7142857142857143,0.2374153,6.5e-7,0.96398775,0.03601225,20000000
15.0,0.8571428571428571,0.19557335,1.3e-6,0.96398775,0.03601225,20000000
15.0,1.0,0.15852985,2.15e-6,0.96398775,0.03601225,20000000
15.0,1.1428571428571428,0.1264523,3.45e-6,0.96398775,0.03601225,20000000
15.0,1.2857142857142858,0.09917485,7.0e-6,0.96398775,0.03601225,20000000
15.0,1.4285714285714286,0.0764959,1.38e-5,0.96398775,0.03601225,20000000
15.0,1.5714285714285714,0.0579681,2.47e-5,0.96398775,0.03601225,20000000
15.0,1.7142857142857142,0.0432287,4.47e-5,0.96398775,0.03601225,20000000
15.0,1.8571428571428572,0.0316542,8.07e-5,0.96398775,0.03601225,20000000
15.0,2.0,0.0227614,0.00014475,0.96398775,0.03601225,20000000
15.0,2.142857142857143,0.0160751,0.00024695,0.96398775,0.03601225,20000000
15.0,2.2857142857142856,0.01113545,0.0004169,0.96398775,0.03601225,20000000
15.0,2.4285714285714284,0.00759235,0.0006754,0.96398775,0.03601225,20000000
15.0,2.5714285714285716,0.0050823,0.00109975,0.96398775,0.03601225,20000000
15.0,2.7142857142857144,0.0033307,0.00176025,0.96398775,0.03601225,20000000
15.0,2.857142857142857,0.00214885,0.0027339,0.96398775,0.03601225,20000000
15.0,3.0,0.0013616,0.0041808,0.96398775,0.03601225,20000000
15.0,3.142857142857143,0.00084595,0.0063162,0.96398775,0.03601225,20000000
15.0,3.2857142857142856,0.0005207,0.0093522,0.96398775,0.03601225,20000000
15.0,3.4285714285714284,0.00031135,0.01356465,0.96398775,0.03601225,20000000
15.0,3.5714285714285716,0.00018295,0.01933045,0.96398775,0.03601225,20000000
15.0,3.7142857142857144,0.00010435,0.0270757,0.96398775,0.03601225,20000000
15.0,3.857142857142857,5.825e-5,0.03722725,0.96398775,0.03601225,20000000
15.0,4.0,3.085e-5,0.0503202,0.96398775,0.03601225,20000000
15.0,4.142857142857143,1.605e-5,0.06683215,0.96398775,0.03601225,20000000
15.0,4.285714285714286,8.75e-6,0.08718925,0.96398775,0.03601225,20000000
15.0,4.428571428571429,4.75e-6,0.1118522,0.96398775,0.03601225,20000000
15.0,4.571428571428571,2.2e-6,0.1410574,0.96398775,0.03601225,20000000
15.0,4.714285714285714,1.45e-6,0.17502335,0.96398775,0.03601225,20000000
15.0,4.857142857142857,4.5e-7,0.21368505,0.96398775,0.03601225,20000000
15.0,5.0,1.5e-7,0.2569023,0.96398775,0.03601225,20000000
