J,Ka,S_in,n,M,operator,denoiser,trials,E_required_dB,pmd,pfa,pmd_standard_error,pfa_standard_error,mean_iterations,converged_fraction,elapsed_seconds,seed,status,gaussian_row_block_size,gaussian_column_block_size,gaussian_dtype,estimated_entries_per_matrix_pass,estimated_entries_per_amp_iteration,codebook_seed_scheme,config_key,error_message
8,16,2.0,128,512,gaussian-blocks,or,1,nan,0.71875,0.00625,0.07948042948974923,0.0035971451353816685,8.0,0.0,0.0194091796875,12345,ceiling_reached,128,64,float32,65536,131072,"blake2b(codebook_seed,n,J,L,section,row_block,column_block)->Philox",92884b5c7e711adc,
8,16,3.0,85,512,gaussian-blocks,or,1,nan,0.8387096774193549,0.0,0.0660585650285281,0.0,8.0,0.0,0.014979124069213867,12345,ceiling_reached,128,64,float32,43520,87040,"blake2b(codebook_seed,n,J,L,section,row_block,column_block)->Philox",326c295f0c5738a5,
