J,Ka,S_in,n,M,operator,denoiser,trials,E_required_dB,pmd,pfa,pmd_standard_error,pfa_standard_error,mean_iterations,converged_fraction,elapsed_seconds,seed,status,config_key,calibration_trials,evaluation_trials,pfa_calibration_factor,pfa_calibration_target,threshold_z,calibration_true_inactive,calibration_false_active,calibration_pfa,evaluation_true_active,evaluation_true_inactive,evaluation_missed_active,evaluation_false_active,pmd_upper_confidence,pfa_upper_confidence,confidence_level,pass_criterion,calibration_elapsed_seconds,evaluation_elapsed_seconds,calibration_method,schema_version,threshold_mode
8,16,0.25,1024,512,dense-gaussian,or,2,2.40625,0.016129032258064516,0.0,0.015998430657150675,0.0,10.0,0.0,0.3258798122406006,12345,ok,da054f315a7836f1,2,2,0.8,0.0005,3.2272184259631564,0,0,nan,0,0,0,0,0.016129032258064516,0.0,0.95,upper-confidence,0.0,0.009086132049560547,independent_streaming_empirical_quantile,2,theoretical
8,16,0.5,512,512,dense-gaussian,or,2,1.671875,0.01639344262295082,0.0,0.016258514874769335,0.0,10.0,0.0,0.08842921257019043,12345,ok,dd9aade5b670a48c,2,2,0.8,0.0005,3.2272184259631564,0,0,nan,0,0,0,0,0.01639344262295082,0.0,0.95,upper-confidence,0.0,0.0045909881591796875,independent_streaming_empirical_quantile,2,theoretical
