J,Ka,Phat,Phat_avg,allocation,branch,eta,gamma_effective,gamma_levels,gamma_target,local_minima_count,local_minima_eta,prior_mean,prior_p0,prior_p1,threshold_EbN0_dB
15,50,33.97259822633449,33.97259822633449,flat,algorithmic,0.9553976263042845,32.45733970482912,32.45734,32.45403843218293,,,0.00152587890625,0.9984752614070381,0.0015235988363399733,4.342187500000001
15,50,33.97259822633449,33.97259822633449,flat,optimal,0.9553976263042845,32.45733970482912,32.45734,32.45403843218293,,,0.00152587890625,0.9984752614070381,0.0015235988363399733,4.342187500000001
15,100,34.90177488487155,34.90177488487155,flat,algorithmic,0.9300116400646715,32.459056901847354,32.459057,32.45403843218293,,,0.0030517578125,0.9969528476418531,0.0030425514927880275,4.459375000000002
15,100,34.90177488487155,34.90177488487155,flat,optimal,0.9300116400646715,32.459056901847354,32.459057,32.45403843218293,,,0.0030517578125,0.9969528476418531,0.0030425514927880275,4.459375000000002
15,150,35.68905207910761,35.68905207910761,flat,algorithmic,0.9095394219804424,32.46059979906144,32.4606,32.45403843218293,,,0.00457763671875,0.9954327551596902,0.00455686859565885,4.556250000000002
15,150,35.68905207910761,35.68905207910761,flat,optimal,0.9095394219804424,32.46059979906144,32.4606,32.45403843218293,,,0.00457763671875,0.9954327551596902,0.00455686859565885,4.556250000000002
15,200,36.402294848598274,36.402294848598274,flat,algorithmic,0.8917833218196929,32.46295942194286,32.462959,32.45403843218293,,,0.006103515625,0.9939149804211999,0.00606656074966399,4.642187500000002
15,200,36.402294848598274,36.402294848598274,flat,optimal,0.8917833218196929,32.46295942194286,32.462959,32.45403843218293,,,0.006103515625,0.9939149804211999,0.00606656074966399,4.642187500000002
15,250,37.063059174593256,37.063059174593256,flat,algorithmic,0.875704728032089,32.45629615452441,32.456296,32.45403843218293,,,0.00762939453125,0.9923995198924287,0.0075716385379530375,4.720312500000004
15,250,37.063059174593256,37.063059174593256,flat,optimal,0.875704728032089,32.45629615452441,32.456296,32.45403843218293,,,0.00762939453125,0.9923995198924287,0.0075716385379530375,4.720312500000004
15,300,40.668088783790814,40.668088783790814,flat,algorithmic,0.9136248673013401,37.15537721849,37.155377,32.45403843218293,,,0.0091552734375,0.9908863700448118,0.009072112522154716,5.123437500000003
15,300,37.708674174128916,37.708674174128916,flat,optimal,0.8612723880491834,32.47743985612058,32.47744,32.45403843218293,,,0.0091552734375,0.9908863700448118,0.009072112522154716,4.795312500000003
20,50,42.47283645066256,42.47283645066256,flat,algorithmic,0.9643775558304765,40.95985020547753,40.95985,40.95732534629209,,,4.76837158203125e-05,0.9999523173982937,4.768148760929327e-05,2.8078125000000007
20,50,42.47283645066256,42.47283645066256,flat,optimal,0.9643775558304765,40.95985020547753,40.95985,40.95732534629209,,,4.76837158203125e-05,0.9999523173982937,4.768148760929327e-05,2.8078125000000007
20,100,43.47779548302192,43.47779548302192,flat,algorithmic,0.9423286492415064,40.970372289514515,40.970372,40.95732534629209,,,9.5367431640625e-05,0.9999046370702179,9.535842806382166e-05,2.9093750000000007
20,100,43.47779548302192,43.47779548302192,flat,optimal,0.9423286492415064,40.970372289514515,40.970372,40.95732534629209,,,9.5367431640625e-05,0.9999046370702179,9.535842806382166e-05,2.9093750000000007
