AMP_convergence_fraction,EbN0_dB,J,Ka,Pe_mean,Pe_median,Pe_standard_error,allocation,elapsed_seconds,mean_AMP_iterations,mean_final_list_size,missing_users,oversized_list_fraction,transmitted_users,tree_overflow_fraction,trials
1.0,2.75,20,50,0.056599999999999984,0.06,0.0034821913453537507,flat,22.29951810836792,15.77,47.17,283,0.0,5000,0.0,100
1.0,3.0,20,50,0.0316,0.02,0.002816689080061442,flat,22.392380952835083,14.68,48.42,158,0.0,5000,0.0,100
1.0,2.875,20,50,0.041599999999999984,0.04,0.0031994949096330314,flat,26.780433654785156,15.32,47.92,208,0.0,5000,0.0,100
1.0,2.8125,20,50,0.048999999999999995,0.04,0.003427458934469492,flat,26.245153188705444,15.55,47.55,245,0.0,5000,0.0,100
1.0,2.78125,20,50,0.05299999999999999,0.05,0.003427458934469492,flat,26.46209168434143,15.65,47.35,265,0.0,5000,0.0,100
1.0,2.0,20,50,0.4898,0.48,0.007719815772125366,power_allocated,26.14824390411377,18.48,25.51,2449,0.0,5000,0.0,100
1.0,2.25,20,50,0.3853999999999999,0.38,0.006903988014550032,power_allocated,34.962445974349976,18.18,30.73,1927,0.0,5000,0.0,100
1.0,2.5,20,50,0.28800000000000003,0.28,0.006463573143221772,power_allocated,24.48402500152588,17.6,35.6,1440,0.0,5000,0.0,100
1.0,2.75,20,50,0.2036,0.2,0.005904150226661743,power_allocated,23.74447727203369,16.92,39.82,1018,0.0,5000,0.0,100
1.0,3.0,20,50,0.13600000000000004,0.14,0.004988876515698589,power_allocated,23.481780767440796,16.2,43.2,680,0.0,5000,0.0,100
1.0,3.25,20,50,0.086,0.08,0.003994946302467151,power_allocated,25.89331841468811,15.28,45.7,430,0.0,5000,0.0,100
1.0,3.5,20,50,0.053599999999999995,0.06,0.0033379362159601223,power_allocated,21.705148220062256,14.42,47.32,268,0.0,5000,0.0,100
1.0,3.75,20,50,0.028999999999999998,0.02,0.0025643239997624272,power_allocated,19.420525074005127,13.59,48.55,145,0.0,5000,0.0,100
1.0,3.625,20,50,0.039200000000000006,0.04,0.002980339618638158,power_allocated,23.16768765449524,13.96,48.04,196,0.0,5000,0.0,100
1.0,3.5625,20,50,0.04699999999999999,0.04,0.003105875825989289,power_allocated,20.762033700942993,14.23,47.65,235,0.0,5000,0.0,100
1.0,3.53125,20,50,0.05079999999999999,0.04,0.003271178084514211,power_allocated,20.455032110214233,14.33,47.46,254,0.0,5000,0.0,100
1.0,2.0,20,100,0.3595999999999999,0.36,0.005961018149086393,flat,45.896541595458984,33.53,64.06,3596,0.0,10000,0.0,100
1.0,2.25,20,100,0.2249,0.22,0.004802135467737769,flat,46.088167905807495,30.42,77.53,2249,0.0,10000,0.0,100
1.0,2.5,20,100,0.13040000000000002,0.13,0.0036567911086253222,flat,41.14883255958557,26.79,86.96,1304,0.0,10000,0.0,100
1.0,2.75,20,100,0.0711,0.07,0.0026357871191304005,flat,39.6975576877594,23.46,92.89,711,0.0,10000,0.0,100
1.0,3.0,20,100,0.0339,0.03,0.0018471654506351629,flat,31.91446828842163,20.56,96.61,339,0.0,10000,0.0,100
1.0,2.875,20,100,0.0489,0.05,0.002159755878460678,flat,33.98361897468567,22.03,95.11,489,0.0,10000,0.0,100
1.0,2.8125,20,100,0.059899999999999995,0.06,0.002414162757185567,flat,35.04746866226196,22.7,94.01,599,0.0,10000,0.0,100
1.0,2.84375,20,100,0.053899999999999997,0.05,0.0022558341869002426,flat,39.47159481048584,22.35,94.61,539,0.0,10000,0.0,100
1.0,2.0,20,100,0.6345999999999999,0.63,0.00522314197789148,power_allocated,42.0928475856781,30.92,36.54,6346,0.0,10000,0.0,100
1.0,2.25,20,100,0.509,0.51,0.005749835307259335,power_allocated,39.928035497665405,29.66,49.1,5090,0.0,10000,0.0,100
1.0,2.5,20,100,0.38170000000000004,0.38,0.005484698641850725,power_allocated,42.185681104660034,27.96,61.84,3817,0.0,10000,0.0,100
1.0,2.75,20,100,0.2661,0.255,0.004724522315653838,power_allocated,39.550801515579224,25.82,73.39,2661,0.0,10000,0.0,100
1.0,3.0,20,100,0.1727,0.17,0.003941119668625179,power_allocated,41.675654888153076,23.95,82.73,1727,0.0,10000,0.0,100
1.0,3.25,20,100,0.1066,0.1,0.0031661722102005858,power_allocated,31.085543155670166,22.18,89.34,1066,0.0,10000,0.0,100
1.0,3.5,20,100,0.06259999999999999,0.06,0.002351101181930877,power_allocated,38.19043159484863,20.09,93.74,626,0.0,10000,0.0,100
1.0,3.75,20,100,0.03339999999999999,0.03,0.0016830707866062177,power_allocated,30.008774042129517,18.06,96.66,334,0.0,10000,0.0,100
1.0,3.625,20,100,0.0469,0.05,0.002023573197304334,power_allocated,26.467907667160034,19.09,95.31,469,0.0,10000,0.0,100
1.0,3.5625,20,100,0.054299999999999994,0.05,0.0021473733073716183,power_allocated,28.317209243774414,19.58,94.57,543,0.0,10000,0.0,100
1.0,3.59375,20,100,0.051,0.05,0.002037526724122938,power_allocated,26.573293447494507,19.33,94.9,510,0.0,10000,0.0,100
0.94,2.0,20,150,0.5816,0.5866666666666667,0.0087776473587038,flat,98.59644985198975,74.79,62.76,8724,0.0,15000,0.0,100
0.96,2.25,20,150,0.3574666666666666,0.3566666666666667,0.007375014694957681,flat,87.75076818466187,59.58,96.38,5362,0.0,15000,0.0,100
0.99,2.5,20,150,0.18539999999999998,0.18,0.004826688803267875,flat,74.60737490653992,45.35,122.22,2781,0.0,15000,0.0,100
1.0,2.75,20,150,0.09346666666666666,0.08666666666666667,0.003071873781544721,flat,43.918925046920776,34.08,136.01,1402,0.0,15000,0.0,100
1.0,3.0,20,150,0.047,0.04666666666666667,0.0018062741382819671,flat,36.49412941932678,27.69,142.97,705,0.0,15000,0.0,100
1.0,2.875,20,150,0.06773333333333333,0.06666666666666667,0.0022735881646719744,flat,41.798567056655884,30.45,139.87,1016,0.0,15000,0.0,100
1.0,2.9375,20,150,0.05626666666666668,0.05333333333333334,0.0019495776399482804,flat,42.89090347290039,29.04,141.58,844,0.0,15000,0.0,100
1.0,2.96875,20,150,0.05133333333333335,0.05333333333333334,0.0019151472531171942,flat,38.695159912109375,28.43,142.32,770,0.0,15000,0.0,100
1.0,2.0,20,150,0.7988666666666666,0.8,0.004724561512085696,power_allocated,75.62139701843262,53.53,30.17,11983,0.0,15000,0.0,100
1.0,2.25,20,150,0.6682000000000001,0.6666666666666666,0.005715165797226426,power_allocated,70.74140477180481,52.83,49.78,10023,0.0,15000,0.0,100
1.0,2.5,20,150,0.5132,0.5133333333333333,0.0058010254908274685,power_allocated,71.37846732139587,48.46,73.05,7698,0.0,15000,0.0,100
1.0,2.75,20,150,0.3576,0.36,0.005287275876600936,power_allocated,55.92210149765015,42.04,96.39,5364,0.0,15000,0.0,100
1.0,3.0,20,150,0.22366666666666662,0.22666666666666666,0.004301097398661436,power_allocated,47.81293535232544,35.71,116.48,3355,0.0,15000,0.0,100
1.0,3.25,20,150,0.132,0.13333333333333333,0.003227268775388421,power_allocated,40.65091037750244,30.32,130.24,1980,0.0,15000,0.0,100
1.0,3.5,20,150,0.07246666666666667,0.07333333333333333,0.002197141291336659,power_allocated,35.27122950553894,25.87,139.16,1087,0.0,15000,0.0,100
1.0,3.75,20,150,0.0394,0.04,0.0015456974787607573,power_allocated,35.84599208831787,22.91,144.11,591,0.0,15000,0.0,100
1.0,3.625,20,150,0.05399999999999999,0.05333333333333334,0.0018288129149505727,power_allocated,32.721097469329834,24.17,141.92,810,0.0,15000,0.0,100
1.0,3.6875,20,150,0.0456,0.04666666666666667,0.0017074997966487597,power_allocated,33.430009603500366,23.53,143.18,684,0.0,15000,0.0,100
1.0,3.65625,20,150,0.04966666666666666,0.04666666666666667,0.0018087578440110785,power_allocated,32.760411739349365,23.85,142.57,745,0.0,15000,0.0,100
0.79,2.0,20,200,0.965,0.965,0.0017638342073763933,flat,104.55925488471985,82.56,7.01,19300,0.0,20000,0.0,100
0.04,2.25,20,200,0.8704,0.905,0.008966739889303372,flat,138.03585386276245,99.81,25.93,17408,0.0,20000,0.0,100
0.2,2.5,20,200,0.38144999999999996,0.345,0.013103761315212537,flat,125.69836258888245,98.18,123.73,7629,0.0,20000,0.0,100
0.94,2.75,20,200,0.14005,0.135,0.003788269373801822,flat,90.5209321975708,64.58,172.07,2801,0.0,20000,0.0,100
1.0,3.0,20,200,0.059000000000000004,0.055,0.0020387657189009376,flat,62.537089347839355,42.36,188.28,1180,0.0,20000,0.0,100
1.0,3.25,20,200,0.0259,0.025,0.0012700512993695581,flat,50.91758990287781,31.97,194.9,518,0.0,20000,0.0,100
1.0,3.125,20,200,0.0394,0.04,0.001587959748109555,flat,49.816346883773804,36.01,192.2,788,0.0,20000,0.0,100
1.0,3.0625,20,200,0.0479,0.045,0.0016608687029638584,flat,53.108351945877075,39.05,190.5,958,0.0,20000,0.0,100
1.0,3.03125,20,200,0.05325000000000001,0.05,0.001780045113490275,flat,58.16743326187134,40.76,189.43,1065,0.0,20000,0.0,100
0.98,2.0,20,200,0.96345,0.965,0.0015678187253491886,power_allocated,95.37903714179993,68.43,7.33,19269,0.0,20000,0.0,100
0.83,2.25,20,200,0.9158499999999999,0.915,0.002780755474704852,power_allocated,116.90241479873657,88.8,16.84,18317,0.0,20000,0.0,100
0.17,2.5,20,200,0.7944500000000001,0.7975000000000001,0.006464313458121325,power_allocated,131.30431652069092,98.96,41.14,15889,0.0,20000,0.0,100
0.48,2.75,20,200,0.5614,0.56,0.00801831237439234,power_allocated,118.39327430725098,92.07,87.75,11228,0.0,20000,0.0,100
0.98,3.0,20,200,0.32865,0.32,0.005384627858238411,power_allocated,93.07028913497925,66.24,134.35,6573,0.0,20000,0.0,100
0.99,3.25,20,200,0.17825,0.175,0.003646899194846731,power_allocated,68.45994973182678,48.21,164.4,3565,0.0,20000,0.0,100
1.0,3.5,20,200,0.09105,0.09,0.002646987042665756,power_allocated,48.58158087730408,36.59,181.85,1821,0.0,20000,0.0,100
1.0,3.75,20,200,0.04650000000000001,0.045,0.001697443115781242,power_allocated,40.834938049316406,29.83,190.77,930,0.0,20000,0.0,100
1.0,3.625,20,200,0.06555,0.065,0.002238207029537417,power_allocated,45.91744613647461,32.82,186.96,1311,0.0,20000,0.0,100
1.0,3.6875,20,200,0.05635,0.055,0.002027406912259793,power_allocated,41.56121277809143,31.29,188.79,1127,0.0,20000,0.0,100
1.0,3.71875,20,200,0.05115,0.05,0.0018351987754612702,power_allocated,41.77188158035278,30.56,189.83,1023,0.0,20000,0.0,100
1.0,2.0,20,250,0.9985200000000002,1.0,0.00024555852642290803,flat,50.766780376434326,37.86,0.42,24963,0.0,25000,0.0,100
1.0,2.25,20,250,0.9974400000000001,1.0,0.0003088983357322956,flat,59.827719926834106,43.95,0.67,24936,0.0,25000,0.0,100
1.0,2.5,20,250,0.99548,0.996,0.00046763535824703056,flat,69.47349882125854,53.38,1.17,24887,0.0,25000,0.0,100
0.96,2.75,20,250,0.9917999999999999,0.992,0.0006416519085276475,flat,92.81510519981384,71.97,2.11,24795,0.0,25000,0.0,100
0.34,3.0,20,250,0.93436,0.984,0.019986750762958097,flat,123.205735206604,95.45,16.43,23359,0.0,25000,0.0,100
0.69,3.25,20,250,0.2764,0.038,0.04122627386225508,flat,102.24199938774109,78.14,181.15,6910,0.0,25000,0.0,100
1.0,3.5,20,250,0.012480000000000002,0.012,0.0006946374681236335,flat,65.61195707321167,43.54,247.29,312,0.01,25000,0.0,100
0.93,3.375,20,250,0.07719999999999999,0.02,0.022743292939620106,flat,91.8261935710907,56.76,231.07,1930,0.0,25000,0.0,100
0.99,3.4375,20,250,0.02536,0.016,0.009596164216850799,flat,76.05772113800049,49.33,244.06,634,0.01,25000,0.0,100
0.94,3.40625,20,250,0.06528,0.016,0.020871971830203492,flat,80.06414127349854,53.1,234.06,1632,0.01,25000,0.0,100
1.0,2.0,20,250,0.997,0.996,0.00033333333333333365,power_allocated,67.08891129493713,47.18,0.82,24925,0.0,25000,0.0,100
1.0,2.25,20,250,0.9943199999999999,0.996,0.000479663181489645,power_allocated,72.16792964935303,56.64,1.48,24858,0.0,25000,0.0,100
0.95,2.5,20,250,0.9896399999999999,0.992,0.0007544507668469563,power_allocated,91.21433019638062,73.01,2.63,24741,0.0,25000,0.0,100
0.38,2.75,20,250,0.9748399999999999,0.976,0.0015789473542441965,power_allocated,125.14300870895386,95.69,6.37,24371,0.0,25000,0.0,100
0.01,3.0,20,250,0.84112,0.908,0.015139281169970861,power_allocated,132.01093077659607,99.93,39.81,21028,0.0,25000,0.0,100
0.4,3.25,20,250,0.28744,0.27,0.011308281760003876,power_allocated,120.38230109214783,93.75,178.39,7186,0.0,25000,0.0,100
0.98,3.5,20,250,0.12068000000000001,0.12,0.003074327716605845,power_allocated,76.57611465454102,60.37,220.2,3017,0.0,25000,0.0,100
1.0,3.75,20,250,0.055999999999999994,0.056,0.0015989895799434332,power_allocated,56.76266813278198,42.43,236.32,1400,0.0,25000,0.0,100
1.0,4.0,20,250,0.02504,0.024,0.001002010100959188,power_allocated,46.21330404281616,33.0,244.13,626,0.0,25000,0.0,100
1.0,3.875,20,250,0.03732,0.036,0.0012007472420929974,power_allocated,55.25420069694519,37.27,241.05,933,0.0,25000,0.0,100
1.0,3.8125,20,250,0.046239999999999996,0.048,0.0014091418693945646,power_allocated,53.03517699241638,39.5,238.79,1156,0.0,25000,0.0,100
1.0,3.78125,20,250,0.050679999999999996,0.052,0.001521355057874792,power_allocated,63.92275142669678,41.07,237.65,1267,0.0,25000,0.0,100
1.0,2.0,20,300,0.9997,1.0,9.587449708821947e-05,flat,35.321226358413696,26.07,0.23,29991,0.0,30000,0.0,100
1.0,2.25,20,300,0.9996333333333333,1.0,0.00010482201257840565,flat,37.15142369270325,27.9,0.2,29989,0.0,30000,0.0,100
1.0,2.5,20,300,0.9995666666666665,1.0,0.00012222222222222156,flat,45.1781485080719,30.01,0.24,29987,0.0,30000,0.0,100
1.0,2.75,20,300,0.9993,1.0,0.00015201600719068887,flat,48.705411195755005,32.56,0.31,29979,0.0,30000,0.0,100
1.0,3.0,20,300,0.9991666666666665,1.0,0.0001597908284803666,flat,47.69911599159241,35.56,0.34,29975,0.0,30000,0.0,100
1.0,3.25,20,300,0.9986,1.0,0.0002074915654175277,flat,52.13392782211304,39.38,0.52,29958,0.0,30000,0.0,100
1.0,3.5,20,300,0.9981333333333334,1.0,0.0002476375469465164,flat,63.49784302711487,44.43,0.65,29944,0.0,30000,0.0,100
1.0,3.75,20,300,0.9975000000000002,0.9966666666666667,0.0003010456897136617,flat,67.17108535766602,51.6,0.85,29925,0.0,30000,0.0,100
0.99,4.0,20,300,0.9965,0.9966666666666667,0.0003329121918722634,flat,82.15980648994446,62.65,1.12,29895,0.0,30000,0.0,100
0.78,4.25,20,300,0.9949333333333334,0.9966666666666667,0.00044312936752559823,flat,106.49902200698853,81.82,1.63,29848,0.0,30000,0.0,100
0.24,4.5,20,300,0.9316000000000001,0.9933333333333333,0.023652149955783387,flat,123.23554944992065,95.64,20.58,27948,0.02,30000,0.0,100
0.57,4.75,20,300,0.435,0.0033333333333333335,0.04918805389995264,flat,105.93036103248596,73.56,169.76,13050,0.24,30000,0.0,100
0.95,5.0,20,300,0.04013333333333333,0.0,0.01918642196655718,flat,57.05121445655823,40.38,288.29,1204,0.47,30000,0.0,100
0.84,4.875,20,300,0.14963333333333334,0.0,0.035500269359247466,flat,79.60029935836792,53.87,255.44,4489,0.41,30000,0.0,100
0.91,4.9375,20,300,0.07996666666666667,0.0,0.02685181913384748,flat,71.8187506198883,46.4,276.35,2399,0.45,30000,0.0,100
0.93,4.96875,20,300,0.07013333333333334,0.0,0.025260746621296043,flat,66.81968641281128,43.16,279.31,2104,0.46,30000,0.0,100
1.0,2.0,20,300,0.9997333333333333,1.0,9.088664144809598e-05,power_allocated,50.72132849693298,33.39,0.15,29992,0.0,30000,0.0,100
1.0,2.25,20,300,0.9995333333333334,1.0,0.00012552918289216884,power_allocated,49.41930794715881,36.42,0.24,29986,0.0,30000,0.0,100
1.0,2.5,20,300,0.9993333333333334,1.0,0.0001421338109037393,power_allocated,59.03767776489258,40.16,0.33,29980,0.0,30000,0.0,100
1.0,2.75,20,300,0.9988999999999999,1.0,0.00017118455724008993,power_allocated,60.41093850135803,45.07,0.48,29967,0.0,30000,0.0,100
1.0,3.0,20,300,0.9985333333333333,1.0,0.0001854409008866725,power_allocated,68.15745210647583,51.55,0.57,29956,0.0,30000,0.0,100
1.0,3.25,20,300,0.9978333333333333,0.9966666666666667,0.0002523736918918987,power_allocated,80.91845703125,61.77,0.77,29935,0.0,30000,0.0,100
0.95,3.5,20,300,0.9958333333333335,0.9966666666666667,0.0003525599820813594,power_allocated,103.92103815078735,78.9,1.35,29875,0.0,30000,0.0,100
0.22,3.75,20,300,0.9817999999999999,0.9933333333333333,0.009248340767860668,power_allocated,131.112158536911,97.44,5.6,29454,0.0,30000,0.0,100
0.33,4.0,20,300,0.5516666666666666,0.9566666666666667,0.047231181562443596,power_allocated,128.11802005767822,93.39,134.79,16550,0.0,30000,0.0,100
0.94,4.25,20,300,0.05216666666666667,0.013333333333333334,0.01902950482466777,power_allocated,88.70543599128723,56.18,284.96,1565,0.04,30000,0.0,100
0.99,4.5,20,300,0.005866666666666667,0.006666666666666667,0.00041335722750529503,power_allocated,53.93190956115723,38.91,298.8,176,0.16,30000,0.0,100
0.99,4.375,20,300,0.008366666666666668,0.006666666666666667,0.0005635684764156239,power_allocated,62.72959065437317,45.0,298.08,251,0.11,30000,0.0,100
0.99,4.3125,20,300,0.011099999999999999,0.01,0.000828849892114857,power_allocated,68.03647708892822,49.66,297.28,333,0.08,30000,0.0,100
0.98,4.28125,20,300,0.022166666666666664,0.01,0.00958725947975807,power_allocated,77.02255940437317,52.5,293.96,665,0.07,30000,0.0,100
