AMP_convergence_fraction,EbN0_dB,J,Ka,Pe_mean,Pe_median,Pe_standard_error,allocation,elapsed_seconds,mean_AMP_iterations,mean_final_list_size,missing_users,oversized_list_fraction,transmitted_users,tree_overflow_fraction,trials
0.97,2.75,15,100,0.7565999999999999,0.76,0.005003473540926092,power_allocated,20.006278038024902,38.62,24.46,7566,0.0,10000,0.0,100
0.97,3.0,15,100,0.6326999999999999,0.64,0.006185442342282157,power_allocated,11.849098443984985,38.37,36.94,6327,0.0,10000,0.0,100
0.97,3.25,15,100,0.48900000000000005,0.49,0.006473723110319974,power_allocated,17.188499212265015,36.89,51.38,4890,0.0,10000,0.0,100
0.97,3.5,15,100,0.3502,0.35,0.005930540711546724,power_allocated,17.395318269729614,34.54,65.37,3502,0.0,10000,0.0,100
0.97,3.75,15,100,0.23030000000000006,0.23,0.004615422105519842,power_allocated,25.058472871780396,31.74,77.39,2303,0.0,10000,0.0,100
0.97,4.0,15,100,0.1396,0.14,0.0037061782978909117,power_allocated,16.42551302909851,28.87,86.51,1396,0.0,10000,0.0,100
0.97,4.25,15,100,0.08070000000000001,0.08,0.002663843202228803,power_allocated,11.384395122528076,26.4,92.46,807,0.01,10000,0.0,100
0.97,4.5,15,100,0.04610000000000001,0.04,0.001953473983973323,power_allocated,21.23017382621765,24.01,95.93,461,0.02,10000,0.0,100
0.97,4.375,15,100,0.058600000000000006,0.06,0.0022519127672072717,power_allocated,17.442718982696533,25.19,94.66,586,0.01,10000,0.0,100
0.97,4.4375,15,100,0.050900000000000015,0.05,0.002156011094216317,power_allocated,11.755464553833008,24.6,95.45,509,0.01,10000,0.0,100
0.97,4.46875,15,100,0.048400000000000006,0.05,0.0020336562088410066,power_allocated,17.066720962524414,24.3,95.7,484,0.01,10000,0.0,100
0.9,2.0,15,150,0.9915333333333335,0.9933333333333333,0.000757187779440036,flat,25.56814432144165,48.03,1.28,14873,0.0,15000,0.0,100
0.9,2.25,15,150,0.9815999999999998,0.9833333333333334,0.0011335907808205704,flat,18.235401153564453,53.11,2.78,14724,0.0,15000,0.0,100
0.9,2.5,15,150,0.9623999999999999,0.96,0.0017765652430605336,flat,21.408514261245728,59.33,5.69,14436,0.0,15000,0.0,100
0.9,2.75,15,150,0.9196,0.92,0.0028090282537987627,flat,12.392834186553955,66.4,12.17,13794,0.0,15000,0.0,100
0.9,3.0,15,150,0.8369333333333334,0.84,0.004723007658981864,flat,12.491272926330566,72.48,24.68,12554,0.0,15000,0.0,100
0.9,3.25,15,150,0.6932666666666667,0.6933333333333334,0.006443744301918512,flat,24.094558477401733,73.78,46.36,10399,0.0,15000,0.0,100
0.91,3.5,15,150,0.5134666666666666,0.5133333333333333,0.007550194176229206,flat,17.693217277526855,66.79,73.47,7702,0.0,15000,0.0,100
