J,Ka,S_in,n,M,operator,denoiser,trials,E_required_dB,threshold_z,pmd,pfa,pmd_standard_error,pfa_standard_error,true_active,true_inactive,missed_detections,false_alarms,max_missed_detections,max_false_alarms,mean_iterations,converged_fraction,elapsed_seconds,seed,status,config_key,threshold_method,schema_version
8,16,0.25,1024,512,dense-gaussian,or,3,2.3125,2.911951121838431,0.02127659574468085,0.0,0.014883913284539245,0.0,94,1442,2,0,2,0,10.0,0.0,0.7814750671386719,12345,ok,13336a56da750d9a,same_sample_empirical_roc_order_statistic,3
8,16,0.5,512,512,dense-gaussian,or,3,1.984375,3.418639825326111,0.021739130434782608,0.0,0.015203882743048593,0.0,92,1444,2,0,2,0,10.0,0.0,0.04282069206237793,12345,ok,8ae41db4d1f89ba6,same_sample_empirical_roc_order_statistic,3
