curve_type,source_file,remainder_allocation,J,Ka,alpha,rate,reliable,cap_hit_fraction,pupe,total_parity,effective_information_bits
tree_code,tree_code_progress.npz,late,12,25,2.5840593484403587,0.59375,true,0.0,0.029807395244176842,39.0,57.0
tree_code,tree_code_progress.npz,late,12,50,2.126205841626695,0.5208333333333333,true,0.0,0.03931754011825691,46.0,50.0
tree_code,tree_code_progress.npz,late,12,75,1.926529025208257,0.47916666666666663,true,0.0,0.04730134604449982,50.0,46.0
tree_code,tree_code_progress.npz,late,12,100,1.8061799739838873,0.42708333333333337,true,0.0,0.028874903961972773,55.0,41.0
tree_code,tree_code_progress.npz,late,12,125,1.7227062322935722,0.41666666666666663,true,0.0,0.04147996543799471,56.0,40.0
tree_code,tree_code_progress.npz,late,12,150,1.6600222683378476,0.39583333333333337,true,0.0,0.04684485558731944,58.0,38.0
tree_code,tree_code_progress.npz,late,12,175,1.6104764473716646,0.36458333333333337,true,0.0,0.033084913171582214,61.0,35.0
tree_code,tree_code_progress.npz,late,12,200,1.5698882477737532,0.35416666666666663,true,0.0,0.03378192052739177,62.0,34.0
tree_code,tree_code_progress.npz,late,12,225,1.5357481488588929,0.35416666666666663,true,0.0,0.04979516721888667,62.0,34.0
tree_code,tree_code_progress.npz,late,12,250,1.506443003120947,0.33333333333333337,true,0.0,0.04669179042573094,64.0,32.0
tree_code,tree_code_progress.npz,late,12,275,1.4808803887655084,0.30208333333333337,true,0.0,0.027147465340679033,67.0,29.0
tree_code,tree_code_progress.npz,late,12,300,1.4582895129114652,0.30208333333333337,true,0.0,0.034034675693732176,67.0,29.0
tree_code,tree_code_progress.npz,late,15,25,3.230074185550448,0.6833333333333333,true,0.0,0.03572898360514228,38.0,82.0
tree_code,tree_code_progress.npz,late,15,50,2.6577573020333687,0.6166666666666667,true,0.0,0.026570088640127748,46.0,74.0
tree_code,tree_code_progress.npz,late,15,75,2.408161281510321,0.5916666666666667,true,0.0,0.043296468209994415,49.0,71.0
tree_code,tree_code_progress.npz,late,15,100,2.257724967479859,0.5583333333333333,true,0.0,0.027306909545767224,53.0,67.0
tree_code,tree_code_progress.npz,late,15,125,2.1533827903669653,0.5416666666666667,true,0.0,0.03196016796033796,55.0,65.0
tree_code,tree_code_progress.npz,late,15,150,2.0750278354223095,0.525,true,0.0,0.04620517168068019,57.0,63.0
tree_code,tree_code_progress.npz,late,15,175,2.0130955592145807,0.5083333333333333,true,0.0,0.027661412879269223,59.0,61.0
tree_code,tree_code_progress.npz,late,15,200,1.9623603097171916,0.5,true,0.0,0.03154929934867915,60.0,60.0
tree_code,tree_code_progress.npz,late,15,225,1.9196851860736162,0.4916666666666667,true,0.0,0.03714950082911919,61.0,59.0
tree_code,tree_code_progress.npz,late,15,250,1.883053753901184,0.4833333333333333,true,0.0,0.04458705928503215,62.0,58.0
tree_code,tree_code_progress.npz,late,15,275,1.8511004859568856,0.4666666666666667,true,0.0,0.030962983801577523,64.0,56.0
tree_code,tree_code_progress.npz,late,15,300,1.8228618911393315,0.4666666666666667,true,0.0,0.04489697304021573,64.0,56.0
tree_code,tree_code_progress.npz,late,20,25,4.306765580733931,0.7625,true,0.0,0.02865998624619313,38.0,122.0
tree_code,tree_code_progress.npz,late,20,50,3.5436764027111582,0.71875,true,0.0,0.030537784443980257,45.0,115.0
tree_code,tree_code_progress.npz,late,20,75,3.210881708680428,0.69375,true,0.0,0.03083812528565365,49.0,111.0
tree_code,tree_code_progress.npz,late,20,100,3.010299956639812,0.675,true,0.0,0.03123399182275095,52.0,108.0
tree_code,tree_code_progress.npz,late,20,125,2.8711770538226205,0.6625,true,0.0,0.03488264222809322,54.0,106.0
tree_code,tree_code_progress.npz,late,20,150,2.766703780563079,0.65,true,0.0,0.03923693727548655,56.0,104.0
tree_code,tree_code_progress.npz,late,20,175,2.6841274122861076,0.6375,true,0.0,0.02689000453317778,58.0,102.0
tree_code,tree_code_progress.npz,late,20,200,2.6164804129562556,0.63125,true,0.0,0.031970129744340464,59.0,101.0
tree_code,tree_code_progress.npz,late,20,225,2.559580248098155,0.625,true,0.0,0.03458616309402642,60.0,100.0
tree_code,tree_code_progress.npz,late,20,250,2.510738338534912,0.61875,true,0.0,0.03743743983788677,61.0,99.0
tree_code,tree_code_progress.npz,late,20,275,2.4681339812758476,0.6125,true,0.0,0.045813779676111395,62.0,98.0
tree_code,tree_code_progress.npz,late,20,300,2.430482521519109,0.60625,true,0.0,0.039515976354199324,63.0,97.0
entropy_bound,analytic,,12,4062.1054828534748,1.001,0.07994101883834043,true,,,,
entropy_bound,analytic,,12,3984.3323749071938,1.00333422281521,0.08195245112487831,true,,,,
entropy_bound,analytic,,12,3908.3990361636256,1.0056684456304201,0.08397515140673704,true,,,,
entropy_bound,analytic,,12,3834.2545146590833,1.0080026684456302,0.08600851286815002,true,,,,
entropy_bound,analytic,,12,3761.8494616769303,1.0103368912608404,0.08805194036675693,true,,,,
entropy_bound,analytic,,12,3691.1360755517544,1.0126711140760505,0.09010485066617122,true,,,,
entropy_bound,analytic,,12,3622.068047636947,1.0150053368912608,0.09216667262995995,true,,,,
entropy_bound,analytic,,12,3554.600510345049,1.017339559706471,0.09423684737937142,true,,,,
entropy_bound,analytic,,12,3488.68998717449,1.019673782521681,0.09631482841707363,true,,,,
entropy_bound,analytic,,12,3424.2943446402605,1.0220080053368912,0.09840008171909381,true,,,,
entropy_bound,analytic,,12,3361.372746029602,1.0243422281521013,0.10049208579707872,true,,,,
entropy_bound,analytic,,12,3299.8856069074363,1.0266764509673114,0.10259033173291446,true,,,,
entropy_bound,analytic,,12,3239.7945522995633,1.0290106737825215,0.1046943231876676,true,,,,
entropy_bound,analytic,,12,3181.0623754848657,1.0313448965977317,0.10680357638672752,true,,,,
entropy_bound,analytic,,12,3123.652998330754,1.0336791194129418,0.10891762008295269,true,,,,
entropy_bound,analytic,,12,3067.531433109031,1.036013342228152,0.11103599549954006,true,,,,
entropy_bound,analytic,,12,3012.663745732108,1.0383475650433622,0.11315825625425731,true,,,,
entropy_bound,analytic,,12,2959.017020352097,1.0406817878585723,0.11528396826660074,true,,,,
entropy_bound,analytic,,12,2906.559325267799,1.0430160106737825,0.11741270964936268,true,,,,
entropy_bound,analytic,,12,2855.259680087121,1.0453502334889926,0.11954407058601282,true,,,,
entropy_bound,analytic,,12,2805.0880240945335,1.0476844563042027,0.12167765319522862,true,,,,
entropy_bound,analytic,,12,2756.0151857755677,1.0500186791194128,0.12381307138383053,true,,,,
entropy_bound,analytic,,12,2708.0128534521814,1.052352901934623,0.1259499506893153,true,,,,
entropy_bound,analytic,,12,2661.0535469850824,1.054687124749833,0.12808792811310052,true,,,,
entropy_bound,analytic,,12,2615.1105905006966,1.0570213475650432,0.13022665194553923,true,,,,
entropy_bound,analytic,,12,2570.1580861025036,1.0593555703802533,0.13236578158368892,true,,,,
entropy_bound,analytic,,12,2526.17088852799,1.0616897931954636,0.13450498734276625,true,,,,
entropy_bound,analytic,,12,2483.1245807143005,1.0640240160106738,0.13664395026214954,true,,,,
entropy_bound,analytic,,12,2440.995450236996,1.0663582388258839,0.13878236190674706,true,,,,
entropy_bound,analytic,,12,2399.760466588097,1.068692461641094,0.14091992416447963,true,,,,
entropy_bound,analytic,,12,2359.3972592607365,1.0710266844563041,0.1430563490405884,true,,,,
entropy_bound,analytic,,12,2319.8840966093485,1.0733609072715142,0.14519135844941797,true,,,,
entropy_bound,analytic,,12,2281.199865455441,1.0756951300867243,0.1473246840042848,true,,,,
entropy_bound,analytic,,12,2243.3240514103636,1.0780293529019345,0.14945606680599152,true,,,,
entropy_bound,analytic,,12,2206.236719887597,1.0803635757171446,0.1515852572305078,true,,,,
entropy_bound,analytic,,12,2169.918497778244,1.0826977985323547,0.1537120147162976,true,,,,
entropy_bound,analytic,,12,2134.3505557645353,1.085032021347565,0.15583610755173055,true,,,,
entropy_bound,analytic,,12,2099.5145912470866,1.0873662441627752,0.15795731266298696,true,,,,
entropy_bound,analytic,,12,2065.392811862767,1.0897004669779853,0.16007541540282236,true,,,,
entropy_bound,analytic,,12,2031.9679195708723,1.0920346897931954,0.16219020934053358,true,,,,
