trial,EbN0_dB,allocation,Pe_trial,recovered_users,missing_users,unique_decoded_messages,pre_cap_final_list_size,tree_overflow,overflow_stage,attempted_paths,oversized_final_list,amp_iterations,amp_converged,final_tau2,rel_change,amp_elapsed_sec,elapsed_sec,high_sections_pair
1,3.0,2-level power allocation,1.0,0,300,2,2,False,0,0,False,47,True,3.711383806303564,7.366446221703951e-06,14.081392765045166,14.193341732025146,7 8
1,3.0,flat power allocation,1.0,0,300,0,0,False,0,0,False,35,True,4.161695175259002,7.162101957875393e-06,10.489838361740112,10.607123851776123,7 8
1,3.5,2-level power allocation,1.0,0,300,0,0,False,0,0,False,67,True,3.7820770752566624,7.99780808210594e-06,20.05666756629944,20.162672519683838,7 8
1,3.5,flat power allocation,0.9966666666666667,1,299,2,2,False,0,0,False,45,True,4.377753341689637,6.918960467975924e-06,13.47833251953125,13.592891216278076,7 8
1,4.0,2-level power allocation,0.03333333333333333,290,10,290,290,False,0,0,False,65,True,1.086946132327004,6.2958394179353735e-06,19.486384868621826,19.6302433013916,7 8
1,4.0,flat power allocation,0.9966666666666667,1,299,2,2,False,0,0,False,61,True,4.5905016011723925,8.286252161202499e-06,18.273941040039062,18.38700771331787,7 8
1,4.5,2-level power allocation,0.006666666666666667,298,2,298,298,False,0,0,False,34,True,1.0389453729193856,2.6118488265917813e-06,10.195522546768188,10.33762502670288,7 8
1,4.5,flat power allocation,0.99,3,297,4,4,False,0,0,False,100,False,4.6666988659806075,5.1161181899420284e-05,29.947232246398926,30.06413769721985,7 8
1,5.0,2-level power allocation,0.0,300,0,300,300,False,0,0,False,26,True,1.0166217388897896,2.301336746086271e-06,7.806087255477905,7.9482948780059814,7 8
1,5.0,flat power allocation,0.0,300,0,300,300,False,0,0,False,32,True,1.0011939701154848,1.808883876543236e-06,9.598937034606934,9.74381399154663,7 8
1,5.5,2-level power allocation,0.0,300,0,300,300,False,0,0,False,19,True,1.003646933545306,1.6087017143484882e-06,5.709577322006226,5.860185146331787,7 8
1,5.5,flat power allocation,0.0,300,0,300,300,False,0,0,False,21,True,0.9964033234316346,2.3736198032404062e-07,6.304142236709595,6.453081369400024,7 8
2,3.0,2-level power allocation,0.9966666666666667,1,299,1,1,False,0,0,False,69,True,3.3898694335148,7.718251788439385e-06,20.668734788894653,20.771717309951782,7 8
2,3.0,flat power allocation,1.0,0,300,0,0,False,0,0,False,39,True,4.022205771250365,5.952479346539223e-06,11.697613716125488,11.78976583480835,7 8
2,3.5,2-level power allocation,0.9933333333333333,2,298,2,2,False,0,0,False,100,False,3.3392925694572533,0.00010766936800746138,29.94739580154419,30.045287370681763,7 8
2,3.5,flat power allocation,0.9966666666666667,1,299,1,1,False,0,0,False,53,True,4.194566532136726,7.455421251901432e-06,15.881797790527344,15.976175785064697,7 8
