trial,EbN0_dB,allocation,Pe_trial,recovered_users,missing_users,unique_decoded_messages,pre_cap_final_list_size,tree_overflow,overflow_stage,attempted_paths,oversized_final_list,amp_iterations,amp_converged,final_tau2,rel_change,amp_elapsed_sec,elapsed_sec,high_sections_pair
1,4.0,2-level power allocation,0.03333333333333333,290,10,290,290,False,0,0,False,65,True,1.0869461373828857,6.2993038724586095e-06,31.178510904312134,31.438743114471436,7 8
1,4.0,flat power allocation,0.9966666666666667,1,299,2,2,False,0,0,False,61,True,4.590501528799097,8.276600044449798e-06,29.37566089630127,29.57835078239441,7 8
1,5.0,2-level power allocation,0.0,300,0,300,300,False,0,0,False,26,True,1.0166217479939113,2.346831547387302e-06,12.819354057312012,13.04087209701538,7 8
1,5.0,flat power allocation,0.0,300,0,300,300,False,0,0,False,32,True,1.001193962928842,1.7951943219234868e-06,16.50913095474243,16.747481107711792,7 8
2,4.0,2-level power allocation,0.03333333333333333,290,10,290,290,False,0,0,False,61,True,1.061580811984926,5.3249801060017435e-06,30.97773790359497,31.196308851242065,7 8
2,4.0,flat power allocation,0.99,3,297,3,3,False,0,0,False,100,False,4.285919930931477,1.3402485818115412e-05,50.95997214317322,51.17275905609131,7 8
2,5.0,2-level power allocation,0.0,300,0,300,300,False,0,0,False,24,True,0.9970121759289373,3.147329616563188e-06,12.895803928375244,13.110957145690918,7 8
2,5.0,flat power allocation,0.0,300,0,300,300,False,0,0,False,28,True,0.9866724010676176,4.489566382913547e-07,15.476711988449097,15.747775077819824,7 8
