J,Ka,S_in,n,M,operator,denoiser,trials,E_required_dB,pmd,pfa,pmd_standard_error,pfa_standard_error,mean_iterations,converged_fraction,elapsed_seconds,seed,status,config_key,calibration_trials,evaluation_trials,pfa_calibration_factor,pfa_calibration_target,threshold_z,calibration_true_inactive,calibration_false_active,calibration_pfa,evaluation_true_active,evaluation_true_inactive,evaluation_missed_active,evaluation_false_active,pmd_upper_confidence,pfa_upper_confidence,confidence_level,pass_criterion,calibration_elapsed_seconds,evaluation_elapsed_seconds,calibration_method,schema_version,threshold_mode
8,16,0.25,1024,512,dense-gaussian,or,4,nan,0.0,0.0005200208008320333,0.0,0.000519885572432703,5.25,1.0,1.0790801048278809,12345,ceiling_reached,c2f17880a8d4efa1,4,4,0.8,0.0005,3.462355025585677,1922,0,0.0,125,1923,0,1,0.02368095751033484,0.0024645081308763586,0.95,upper-confidence,0.05718111991882324,0.004431009292602539,independent_streaming_empirical_quantile,2,calibrated
8,16,0.5,512,512,dense-gaussian,or,4,nan,0.0,0.002081165452653486,0.0,0.0010394993499514634,5.375,1.0,1.039315938949585,12345,ceiling_reached,6188fca6cba3467e,4,4,0.8,0.0005,3.0344718016462378,1922,0,0.0,126,1922,0,4,0.023495238866670053,0.004756114788154459,0.95,upper-confidence,0.04996991157531738,0.0025310516357421875,independent_streaming_empirical_quantile,2,calibrated
