S_in,E_required_dB,eta_alg_required,gamma_effective_required,beta,q_active,gamma_target,Ka
5.000000000000000278e-02,-1.210000000000102105e+00,9.991586424323412041e-01,7.561961279372776801e+01,3.355443200000000070e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.983935742971888128e-02,-1.210000000000102105e+00,9.989919845652712738e-01,7.560699957812650496e+01,4.015751299598393962e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
6.967871485943775978e-02,-1.210000000000102105e+00,9.988248296592612263e-01,7.559434874498325030e+01,4.676059399196787854e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
7.951807228915663828e-02,-1.210000000000102105e+00,9.986573174276901499e-01,7.558167086826611580e+01,5.336367498795181746e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
8.935742971887550290e-02,-1.210000000000102105e+00,9.984894588534336535e-01,7.556896677919525018e+01,5.996675598393574182e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
9.919678714859439528e-02,-1.210000000000102105e+00,9.983211560493637782e-01,7.555622906935082028e+01,6.656983697991969530e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.090361445783132599e-01,-1.210000000000102105e+00,9.981524794879839124e-01,7.554346307232368929e+01,7.317291797590361966e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.188755020080321384e-01,-1.210000000000102105e+00,9.979834073519723292e-01,7.553066713690718359e+01,7.977599897188755858e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.287148594377510169e-01,-1.210000000000102105e+00,9.978139600246099805e-01,7.551784280577506081e+01,8.637907996787149750e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.385542168674698815e-01,-1.210000000000102105e+00,9.976440965545823047e-01,7.550498697959713468e+01,9.298216096385542187e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.483935742971887739e-01,-1.200000000000102318e+00,9.975146502026547290e-01,7.566922444067964193e+01,9.958524195983937534e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.582329317269076663e-01,-1.200000000000102318e+00,9.973466803894540655e-01,7.565648262732206319e+01,1.061883229558233143e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.680722891566265309e-01,-1.200000000000102318e+00,9.971783406575244202e-01,7.564371275275922812e+01,1.127914039518072386e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.779116465863453955e-01,-1.200000000000102318e+00,9.970096030272127541e-01,7.563091269451743415e+01,1.193944849477911775e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.877510040160642601e-01,-1.200000000000102318e+00,9.968404878332012276e-01,7.561808399514005430e+01,1.259975659437751019e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.975903614457831803e-01,-1.200000000000102318e+00,9.966709248439175051e-01,7.560522132701748887e+01,1.326006469397590554e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.074297188755020449e-01,-1.200000000000102318e+00,9.965009741147832223e-01,7.559232924581938562e+01,1.392037279357429943e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.172690763052209095e-01,-1.200000000000102318e+00,9.963306276460752731e-01,7.557940714470466048e+01,1.458068089317269332e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.271084337349397742e-01,-1.200000000000102318e+00,9.961599193511234684e-01,7.556645759626246672e+01,1.524098899277108430e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.369477911646586388e-01,-1.200000000000102318e+00,9.959888407941075439e-01,7.555347996057039950e+01,1.590129709236947820e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.467871485943775589e-01,-1.200000000000102318e+00,9.958170138128229487e-01,7.554044555109166481e+01,1.656160519196787500e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.566265060240964235e-01,-1.200000000000102318e+00,9.956453671030159880e-01,7.552742481660294516e+01,1.722191329156626889e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.664658634538152882e-01,-1.200000000000102318e+00,9.954728682846860632e-01,7.551433944307254365e+01,1.788222139116465987e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.763052208835341528e-01,-1.190000000000102531e+00,9.953774612986988624e-01,7.568116392993917430e+01,1.854252949076305376e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.861445783132530174e-01,-1.190000000000102531e+00,9.952069674067387517e-01,7.566820083132766683e+01,1.920283759036144475e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.959839357429719375e-01,-1.190000000000102531e+00,9.950361837717910385e-01,7.565521570279545926e+01,1.986314568995984155e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.058232931726908022e-01,-1.190000000000102531e+00,9.948649996594270961e-01,7.564220012491296075e+01,2.052345378955823544e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.156626506024096668e-01,-1.190000000000102531e+00,9.946932035465370081e-01,7.562913801502230626e+01,2.118376188915662933e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.255020080321285314e-01,-1.190000000000102531e+00,9.945212507134346680e-01,7.561606398928211092e+01,2.184406998875502031e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.353413654618473960e-01,-1.190000000000102531e+00,9.943488545729483041e-01,7.560295625771661321e+01,2.250437808835341420e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.451807228915663162e-01,-1.190000000000102531e+00,9.941758652345857872e-01,7.558980342375787131e+01,2.316468618795181101e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.550200803212851808e-01,-1.190000000000102531e+00,9.940027119190862903e-01,7.557663812218650889e+01,2.382499428755020490e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.648594377510040454e-01,-1.190000000000102531e+00,9.938290648217759093e-01,7.556343527708656893e+01,2.448530238714859588e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.746987951807229100e-01,-1.190000000000102531e+00,9.936549674325793058e-01,7.555019819511127821e+01,2.514561048674698977e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.845381526104417746e-01,-1.190000000000102531e+00,9.934804404368493547e-01,7.553692844902238335e+01,2.580591858634538075e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.943775100401606948e-01,-1.190000000000102531e+00,9.933054629177023864e-01,7.552362444845425671e+01,2.646622668594378047e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.042168674698795594e-01,-1.190000000000102531e+00,9.931302298532717066e-01,7.551030101810671624e+01,2.712653478554217145e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.140562248995984240e-01,-1.180000000000102744e+00,9.930720093875622378e-01,7.567993337980021806e+01,2.778684288514056243e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.238955823293172887e-01,-1.180000000000102744e+00,9.928986064701977865e-01,7.566671870744015393e+01,2.844715098473895923e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.337349397590362088e-01,-1.180000000000102744e+00,9.927249161000287758e-01,7.565348212890522461e+01,2.910745908433735603e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.435742971887550734e-01,-1.180000000000102744e+00,9.925505961573934943e-01,7.564019757197411309e+01,2.976776718393574702e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.534136546184739380e-01,-1.180000000000102744e+00,9.923759735591693998e-01,7.562688995029583339e+01,3.042807528353413800e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.632530120481928027e-01,-1.180000000000102744e+00,9.922008117340183064e-01,7.561354123526530202e+01,3.108838338313253480e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.730923694779116673e-01,-1.180000000000102744e+00,9.920254118786488995e-01,7.560017438045144900e+01,3.174869148273092578e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.829317269076305874e-01,-1.180000000000102744e+00,9.918494504147852275e-01,7.558676472663306356e+01,3.240899958232932258e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.927710843373494520e-01,-1.180000000000102744e+00,9.916731842256000240e-01,7.557333185033753864e+01,3.306930768192771357e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.026104417670683722e-01,-1.180000000000102744e+00,9.914964224550033567e-01,7.555986120682287321e+01,3.372961578152611037e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.124497991967872368e-01,-1.180000000000102744e+00,9.913192022985892748e-01,7.554635563068721638e+01,3.438992388112450135e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.222891566265061014e-01,-1.180000000000102744e+00,9.911416788480903461e-01,7.553282694114597007e+01,3.505023198072289815e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.321285140562249660e-01,-1.180000000000102744e+00,9.909636461355977310e-01,7.551925944181711259e+01,3.571054008032128913e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.419678714859438307e-01,-1.180000000000102744e+00,9.907851704907874035e-01,7.550565818754604663e+01,3.637084817991968011e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.518072289156628063e-01,-1.170000000000102958e+00,9.907657451490192724e-01,7.567823292878178165e+01,3.703115627951808274e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.616465863453816709e-01,-1.170000000000102958e+00,9.905891456765880676e-01,7.566474362914139817e+01,3.769146437911647372e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.714859437751005355e-01,-1.170000000000102958e+00,9.904122302417067703e-01,7.565123019515844760e+01,3.835177247871487052e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.813253012048194002e-01,-1.170000000000102958e+00,9.902349583146639045e-01,7.563768953102852777e+01,3.901208057831326150e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.911646586345382648e-01,-1.170000000000102958e+00,9.900571668463163943e-01,7.562410918247466896e+01,3.967238867791165248e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
6.010040160642571294e-01,-1.170000000000102958e+00,9.898789647745532827e-01,7.561049747056263470e+01,4.033269677751004929e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
6.108433734939759940e-01,-1.170000000000102958e+00,9.897002224632687195e-01,7.559684449322277544e+01,4.099300487710844027e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
6.206827309236948587e-01,-1.170000000000102958e+00,9.895211445955964802e-01,7.558316588488528964e+01,4.165331297670683125e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
6.305220883534137233e-01,-1.170000000000102958e+00,9.893417045427885803e-01,7.556945961155112457e+01,4.231362107630522805e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
6.403614457831326989e-01,-1.170000000000102958e+00,9.891617252514752767e-01,7.555571214925031143e+01,4.297392917590362485e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
