S_in,E_required_dB,eta_alg_required,gamma_effective_required,beta,q_active,gamma_target,Ka
5.000000000000000278e-02,-1.490000000000096136e+00,9.992428934102792759e-01,8.508486503511943511e+01,8.947848533333333908e+05,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
5.983935742971888128e-02,-1.490000000000096136e+00,9.990928643033702983e-01,8.507209015686224518e+01,1.070867013226238312e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
6.967871485943775978e-02,-1.490000000000096136e+00,9.989425302051636590e-01,8.505928930879973393e+01,1.246949173119143350e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
7.951807228915663828e-02,-1.490000000000096136e+00,9.987917136147581587e-01,8.504644737684871814e+01,1.423031333012048388e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
8.935742971887550290e-02,-1.490000000000096136e+00,9.986406970802131911e-01,8.503358841978776184e+01,1.599113492904953193e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
9.919678714859439528e-02,-1.490000000000096136e+00,9.984892357590191558e-01,8.502069158944067340e+01,1.775195652797858464e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
1.090361445783132599e-01,-1.490000000000096136e+00,9.983374431137593819e-01,8.500776654707067337e+01,1.951277812690763269e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
1.188755020080321384e-01,-1.490000000000096136e+00,9.981852198149228084e-01,8.499480483483621640e+01,2.127359972583668306e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
1.287148594377510169e-01,-1.490000000000096136e+00,9.980328295386948767e-01,8.498182890458839722e+01,2.303442132476573344e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
1.385542168674698815e-01,-1.490000000000096136e+00,9.978799547563478312e-01,8.496881171896811225e+01,2.479524292369477917e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
1.483935742971887739e-01,-1.490000000000096136e+00,9.977267272677801113e-01,8.495576450064869789e+01,2.655606452262383420e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
1.582329317269076663e-01,-1.490000000000096136e+00,9.975731998744920004e-01,8.494269174564261959e+01,2.831688612155288458e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
1.680722891566265309e-01,-1.490000000000096136e+00,9.974192757925883779e-01,8.492958521286585949e+01,3.007770772048193030e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
