S_in,E_required_dB,eta_alg_required,gamma_effective_required,beta,q_active,gamma_target,Ka
5.000000000000000278e-02,1.319999999999843965e+00,9.984536299299386908e-01,4.059281364013391169e+01,6.034622467771639798e-01,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
5.983935742971888128e-02,1.319999999999843965e+00,9.981470702198559364e-01,4.058035024593318241e+01,7.222158616047986701e-01,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
6.967871485943775978e-02,1.319999999999843965e+00,9.978397615077636562e-01,4.056785640054466313e+01,8.409694764324332494e-01,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
7.951807228915663828e-02,1.319999999999843965e+00,9.975317026710875945e-01,4.055533205832932708e+01,9.597230912600680508e-01,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
8.935742971887550290e-02,1.319999999999843965e+00,9.972228855382363477e-01,4.054277688706554983e+01,1.078476706087702519e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
9.919678714859439528e-02,1.319999999999843965e+00,9.969133086487701467e-01,4.053019082737815637e+01,1.197230320915337431e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
1.090361445783132599e-01,1.319999999999843965e+00,9.966029748203438787e-01,4.051757399382082525e+01,1.315983935742971900e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
1.188755020080321384e-01,1.319999999999843965e+00,9.962918592492810976e-01,4.050492537798317016e+01,1.434737550570606590e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
1.287148594377510169e-01,1.329999999999843752e+00,9.960169601169808207e-01,4.058709689867122705e+01,1.553491165398241503e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
1.385542168674698815e-01,1.329999999999843752e+00,9.957071992373087710e-01,4.057447432762867123e+01,1.672244780225875749e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
1.483935742971887739e-01,1.329999999999843752e+00,9.953966701103468262e-01,4.056182045096738875e+01,1.790998395053510661e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
1.582329317269076663e-01,1.329999999999843752e+00,9.950853755934458977e-01,4.054913538512273163e+01,1.909752009881145574e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
