S_in,E_optimal_asymptotic_dB,E_amp_asymptotic_dB
2.283534136546184978e+00,-7.207338644616985146e-01,nan
2.293373493975903621e+00,-7.021638115203425734e-01,nan
2.303212851405622708e+00,-6.835788556749615719e-01,nan
2.313052208835341350e+00,-6.649790119732880145e-01,nan
2.322891566265060437e+00,-6.463642955029845760e-01,nan
2.332730923694779079e+00,-6.277347213913868629e-01,nan
2.342570281124498166e+00,-6.090903048052389579e-01,nan
2.352409638554216809e+00,-5.904310609504362928e-01,nan
2.362248995983935895e+00,-5.717570050717600827e-01,nan
2.372088353413654538e+00,-5.530681524526208648e-01,nan
2.381927710843373625e+00,-5.343645184147930438e-01,nan
2.391767068273092711e+00,-5.156461183181568764e-01,nan
2.401606425702811354e+00,-4.969129675604365692e-01,nan
2.411445783132530440e+00,-4.781650815769357132e-01,nan
2.421285140562249083e+00,-4.594024758402806552e-01,nan
2.431124497991968170e+00,-4.406251658601529897e-01,nan
2.440963855421686812e+00,-4.218331671830366503e-01,nan
2.450803212851405899e+00,-4.030264953919453497e-01,nan
2.460642570281124542e+00,-3.842051661061716139e-01,nan
2.470481927710843628e+00,-3.653691949810166095e-01,nan
2.480321285140562271e+00,-3.465185977075341817e-01,nan
2.490160642570281357e+00,-3.276533900122646226e-01,nan
2.500000000000000000e+00,-3.087735876569801530e-01,nan
