S_in,E_required_dB,eta_alg_required,gamma_effective_required,beta,q_active,gamma_target,Ka
5.000000000000000278e-02,5.999999999998593125e-01,9.986947371738753576e-01,4.586619917024101056e+01,2.560000000000000053e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
5.983935742971888128e-02,5.999999999998593125e-01,9.984361170478129877e-01,4.585432174486779644e+01,3.063775100401606721e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
6.967871485943775978e-02,5.999999999998593125e-01,9.981769240818576527e-01,4.584241801116667148e+01,3.567550200803213389e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
7.951807228915663828e-02,5.999999999998593125e-01,9.979171213410857888e-01,4.583048627285899101e+01,4.071325301204820057e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
8.935742971887550290e-02,5.999999999998593125e-01,9.976567434406472534e-01,4.581852811968514061e+01,4.575100401606425393e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
9.919678714859439528e-02,5.999999999998593125e-01,9.973957801396200473e-01,4.580654308131905594e+01,5.078875502008033394e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
1.090361445783132599e-01,6.099999999998590994e-01,9.971631013273095645e-01,4.590142739393882465e+01,5.582650602409638729e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
1.188755020080321384e-01,6.099999999998590994e-01,9.969035899950309254e-01,4.588948156425395553e+01,6.086425702811245841e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
1.287148594377510169e-01,6.099999999998590994e-01,9.966434698939629078e-01,4.587750771171469921e+01,6.590200803212852065e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
1.385542168674698815e-01,6.099999999998590994e-01,9.963827610549532698e-01,4.586550675838135760e+01,7.093975903614458289e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
1.483935742971887739e-01,6.099999999998590994e-01,9.961214733839954816e-01,4.585347916024677062e+01,7.597751004016065401e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
1.582329317269076663e-01,6.099999999998590994e-01,9.958595793013591546e-01,4.584142364776037226e+01,8.101526104417672514e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
