eta,g_Popt,g_Palg,g_Pstar,g_mixture,G_Popt,G_Palg,G_Pstar,G_mixture
6.916631929970820658e-02,-8.965589710140143609e+00,-7.584031900000364423e+00,-5.397909917840095773e+00,-8.278773004227893750e+00,3.866912116543029798e-01,4.733733458339255407e-01,6.418700256926993530e-01,4.358158760523526132e-01
6.952897040433514420e-02,-8.890722727385908186e+00,-7.510468631333571565e+00,-5.330367416592416419e+00,-8.205316062888165618e+00,3.834534059392866734e-01,4.706363271881854882e-01,6.399247148796612938e-01,4.328268894978734016e-01
6.989162150896206793e-02,-8.816645196318765088e+00,-7.437710298628728900e+00,-5.263679624076226915e+00,-8.132661135917970796e+00,3.802426076705032187e-01,4.679258403876296324e-01,6.380037434487773051e-01,4.298643967586150971e-01
7.025427261358899167e-02,-8.743345051418087266e+00,-7.365744884131178338e+00,-5.197834265065315762e+00,-8.060796117426097140e+00,3.770585327402132814e-01,4.652415957004680802e-01,6.361068036647936630e-01,4.269281091782880511e-01
7.061692371821592928e-02,-8.670810476548250989e+00,-7.294560617233415201e+00,-5.132819280913391680e+00,-7.989709144591016887e+00,3.739009013710321572e-01,4.625833077083489897e-01,6.342335922048100150e-01,4.240177424467425071e-01
7.097957482284285302e-02,-8.599029898008421213e+00,-7.224145968211971081e+00,-5.068622851835677068e+00,-7.919388596338084341e+00,3.707694380267503309e-01,4.599506952178660235e-01,6.323838100756955516e-01,4.211330165120596991e-01
7.134222592746977676e-02,-8.527991978359654723e+00,-7.154489649499408799e+00,-5.005233406625137604e+00,-7.849823090225491740e+00,3.676638713255331314e-01,4.573434811729705229e-01,6.305571625257035961e-01,4.182736554934456397e-01
7.170487703209671437e-02,-8.457685610439160229e+00,-7.085580599247401246e+00,-4.942639582993047398e+00,-7.781001469975962870e+00,3.645839339553256231e-01,4.547613925701339266e-01,6.287533589615168506e-01,4.154393875969522032e-01
7.206752813672363811e-02,-8.388099911555165988e+00,-7.017407973702128210e+00,-4.880830220406693343e+00,-7.712912799410355902e+00,3.615293625913958975e-01,4.522041603778733654e-01,6.269721128737808513e-01,4.126299450345582986e-01
7.243017924135056185e-02,-8.319224217855957448e+00,-6.949961146286353753e+00,-4.819794397979128675e+00,-7.645546365194912042e+00,3.584998978159503746e-01,4.496715194578254637e-01,6.252131417570665484e-01,4.098450639438524501e-01
7.279283034597749946e-02,-8.251048078867146529e+00,-6.883229702137126260e+00,-4.759521395694239487e+00,-7.578891664965565766e+00,3.554952840397624936e-01,4.471632084869774371e-01,6.234761670299935332e-01,4.070844843093713861e-01
7.315548145060442320e-02,-8.183561251801753755e+00,-6.817203436234922975e+00,-4.700000668580333496e+00,-7.512938397761530496e+00,3.525152694258230079e-01,4.446789698812284586e-01,6.217609139670675633e-01,4.043479498878265188e-01
7.351813255523134694e-02,-8.116753695389808954e+00,-6.751872350142329893e+00,-4.641221895212916948e+00,-7.447676468380079129e+00,3.495596058151401175e-01,4.422185497198803938e-01,6.200671116264047100e-01,4.016352081342744462e-01
