S_in,E_required_dB,eta_required,gamma_effective_required,beta,q_active,gamma_target,Ka
5.000000000000000278e-02,1.314999999999844071e+00,9.984465240676958508e-01,4.054581776712917218e+01,6.034622467771639798e-01,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
5.983935742971888128e-02,1.314999999999844071e+00,9.981385545435700335e-01,4.053331146268318008e+01,7.222158616047986701e-01,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
6.967871485943775978e-02,1.314999999999844071e+00,9.978298281450397322e-01,4.052077442239812655e+01,8.409694764324332494e-01,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
7.951807228915663828e-02,1.314999999999844071e+00,9.975203479742377199e-01,4.050820677224821509e+01,9.597230912600680508e-01,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
8.935742971887550290e-02,1.319999999999843965e+00,9.972228855382363477e-01,4.054277688706554983e+01,1.078476706087702519e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
9.919678714859439528e-02,1.319999999999843965e+00,9.969133086487701467e-01,4.053019082737815637e+01,1.197230320915337431e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
1.090361445783132599e-01,1.319999999999843965e+00,9.966029748203438787e-01,4.051757399382082525e+01,1.315983935742971900e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
1.188755020080321384e-01,1.319999999999843965e+00,9.962918592492810976e-01,4.050492537798317016e+01,1.434737550570606590e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
1.287148594377510169e-01,1.324999999999843858e+00,9.959984854233344675e-01,4.053964419827758547e+01,1.553491165398241503e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
1.385542168674698815e-01,1.324999999999843858e+00,9.956872799050556777e-01,4.052697735071887308e+01,1.672244780225875749e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
1.483935742971887739e-01,1.324999999999843858e+00,9.953753027450030766e-01,4.051427909539859229e+01,1.790998395053510661e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
1.582329317269076663e-01,1.324999999999843858e+00,9.950625431483849370e-01,4.050154899294155086e+01,1.909752009881145574e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
1.680722891566265309e-01,1.329999999999843752e+00,9.947732859153773921e-01,4.053641791693488727e+01,2.028505624708780264e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
1.779116465863453955e-01,1.329999999999843752e+00,9.944604328605195498e-01,4.052366934159830691e+01,2.147259239536414732e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
1.877510040160642601e-01,1.329999999999843752e+00,9.941467952734487357e-01,4.051088879704210655e+01,2.266012854364049200e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
1.975903614457831803e-01,1.334999999999843645e+00,9.938610110652749130e-01,4.054589658862478529e+01,2.384766469191684113e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
2.074297188755020449e-01,1.334999999999843645e+00,9.935472639221689661e-01,4.053309685196370538e+01,2.503520084019319025e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
2.172690763052209095e-01,1.334999999999843645e+00,9.932327428489277077e-01,4.052026554178189599e+01,2.622273698846953494e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
2.271084337349397742e-01,1.334999999999843645e+00,9.929174204019357575e-01,4.050740153848016689e+01,2.741027313674587962e+00,5.508537983458214153e-03,4.050127874844481113e+01,1.810000000000000000e+02
