S_in,E_required_dB,eta_required,gamma_effective_required,beta,q_active,gamma_target,Ka
5.000000000000000278e-02,5.949999999998594191e-01,9.986881606852475723e-01,4.581312245733609245e+01,2.560000000000000053e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
5.983935742971888128e-02,5.999999999998593125e-01,9.984361170478129877e-01,4.585432174486779644e+01,3.063775100401606721e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
6.967871485943775978e-02,5.999999999998593125e-01,9.981769240818576527e-01,4.584241801116667148e+01,3.567550200803213389e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
7.951807228915663828e-02,5.999999999998593125e-01,9.979171213410857888e-01,4.583048627285899101e+01,4.071325301204820057e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
8.935742971887550290e-02,5.999999999998593125e-01,9.976567434406472534e-01,4.581852811968514061e+01,4.575100401606425393e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
9.919678714859439528e-02,5.999999999998593125e-01,9.973957801396200473e-01,4.580654308131905594e+01,5.078875502008033394e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
1.090361445783132599e-01,6.049999999998592060e-01,9.971486402445189912e-01,4.584794692477714761e+01,5.582650602409638729e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
1.188755020080321384e-01,6.049999999998592060e-01,9.968878187550429537e-01,4.583595460054009862e+01,6.086425702811245841e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
1.287148594377510169e-01,6.049999999998592060e-01,9.966263723234998206e-01,4.582393354206067215e+01,6.590200803212852065e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
1.385542168674698815e-01,6.049999999998592060e-01,9.963643554102105115e-01,4.581188625337266274e+01,7.093975903614458289e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
1.483935742971887739e-01,6.099999999998590994e-01,9.961214733839954816e-01,4.585347916024677062e+01,7.597751004016065401e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
1.582329317269076663e-01,6.099999999998590994e-01,9.958595793013591546e-01,4.584142364776037226e+01,8.101526104417672514e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
1.680722891566265309e-01,6.099999999998590994e-01,9.955970815841671540e-01,4.582934034875870566e+01,8.605301204819278738e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
1.779116465863453955e-01,6.099999999998590994e-01,9.953339811298914652e-01,4.581722930455423182e+01,9.109076305220884961e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
1.877510040160642601e-01,6.099999999998590994e-01,9.950702806192223138e-01,4.580509063854451313e+01,9.612851405622489409e+00,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
1.975903614457831803e-01,6.149999999998589928e-01,9.948324033651179121e-01,4.584689348304217305e+01,1.011662650602409919e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
2.074297188755020449e-01,6.149999999998589928e-01,9.945688285781102422e-01,4.583474662780918862e+01,1.062040160642570541e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
2.172690763052209095e-01,6.149999999998589928e-01,9.943046399331189056e-01,4.582257148290500481e+01,1.112417670682730986e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
2.271084337349397742e-01,6.149999999998589928e-01,9.940398468477319449e-01,4.581036848233956960e+01,1.162795180722891608e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
2.369477911646586388e-01,6.199999999998588862e-01,9.938063066717528482e-01,4.585236488294574286e+01,1.213172690763052231e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
2.467871485943775589e-01,6.199999999998588862e-01,9.935416459715584736e-01,4.584015393307149111e+01,1.263550200803213031e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
2.566265060240964235e-01,6.199999999998588862e-01,9.932763496781423784e-01,4.582791365811434048e+01,1.313927710843373653e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
2.664658634538152882e-01,6.199999999998588862e-01,9.930104359102980283e-01,4.581564489404156149e+01,1.364305220883534275e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
2.763052208835341528e-01,6.249999999998587796e-01,9.927812651167570168e-01,4.585783678776010674e+01,1.414682730923694898e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
2.861445783132530174e-01,6.249999999998587796e-01,9.925155036882312709e-01,4.584556092736463029e+01,1.465060240963855520e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
2.959839357429719375e-01,6.249999999998587796e-01,9.922490845828648709e-01,4.583325468803446512e+01,1.515437751004016320e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
3.058232931726908022e-01,6.249999999998587796e-01,9.919821050350785541e-01,4.582092256115189599e+01,1.565815261044176943e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
3.156626506024096668e-01,6.249999999998587796e-01,9.917144553484844582e-01,4.580855947970042763e+01,1.616192771084337565e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
3.255020080321285314e-01,6.299999999998586730e-01,9.914904223769747116e-01,4.585096861304792526e+01,1.666570281124498010e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
3.353413654618473960e-01,6.299999999998586730e-01,9.912229146011509728e-01,4.583859785246747265e+01,1.716947791164658810e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
3.451807228915663162e-01,6.299999999998586730e-01,9.909547618283280901e-01,4.582619726432994156e+01,1.767325301204819610e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
3.550200803212851808e-01,6.299999999998586730e-01,9.906859671805657852e-01,4.581376699301338817e+01,1.817702811244980055e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
3.648594377510040454e-01,6.349999999998585665e-01,9.904663759776645149e-01,4.585637583453344490e+01,1.868080321285140855e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
3.746987951807229100e-01,6.349999999998585665e-01,9.901977251366798072e-01,4.584393790202887686e+01,1.918457831325301299e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
3.845381526104417746e-01,6.349999999998585665e-01,9.899284415602386256e-01,4.583147067528918228e+01,1.968835341365461744e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
3.943775100401606948e-01,6.349999999998585665e-01,9.896585349070378124e-01,4.581897460149041024e+01,2.019212851405622899e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
4.042168674698795594e-01,6.349999999998585665e-01,9.893879570265394774e-01,4.580644745137045248e+01,2.069590361445783344e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
4.140562248995984240e-01,6.399999999998584599e-01,9.891735973626043510e-01,4.584927863721026142e+01,2.119967871485943789e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
4.238955823293172887e-01,6.399999999998584599e-01,9.889031769936931227e-01,4.583674435720475770e+01,2.170345381526104589e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
4.337349397590362088e-01,6.399999999998584599e-01,9.886320713630311063e-01,4.582417831456726987e+01,2.220722891566265389e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
4.435742971887550734e-01,6.399999999998584599e-01,9.883603379996604987e-01,4.581158317583184214e+01,2.271100401606425834e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
4.534136546184739380e-01,6.449999999998583533e-01,9.881505501046616846e-01,4.585462098279199950e+01,2.321477911646586634e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
4.632530120481928027e-01,6.449999999998583533e-01,9.878788924088759416e-01,4.584201484633233292e+01,2.371855421686747079e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
4.730923694779116673e-01,6.449999999998583533e-01,9.876066329016047751e-01,4.582938078311842389e+01,2.422232931726907879e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
4.829317269076305874e-01,6.449999999998583533e-01,9.873337199471704517e-01,4.581671639702305043e+01,2.472610441767068679e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
4.927710843373494520e-01,6.499999999998582467e-01,9.871284867671681340e-01,4.585996050552020620e+01,2.522987951807229123e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
5.026104417670683722e-01,6.499999999998582467e-01,9.868556994938249005e-01,4.584728736950029315e+01,2.573365461847389923e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
5.124497991967872368e-01,6.499999999998582467e-01,9.865822241223416444e-01,4.583458226585514694e+01,2.623742971887550723e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
5.222891566265061014e-01,6.499999999998582467e-01,9.863081075235602402e-01,4.582184737210773307e+01,2.674120481927711168e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
5.321285140562249660e-01,6.499999999998582467e-01,9.860333237823035724e-01,4.580908148429220006e+01,2.724497991967871968e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
5.419678714859438307e-01,6.549999999998581401e-01,9.858334781040811734e-01,4.585255639472992328e+01,2.774875502008032413e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
5.518072289156628063e-01,6.549999999998581401e-01,9.855588287543168846e-01,4.583978205192401845e+01,2.825253012048193568e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
5.616465863453816709e-01,6.549999999998581401e-01,9.852834933124746675e-01,4.582697579797247300e+01,2.875630522088354013e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
5.714859437751005355e-01,6.549999999998581401e-01,9.850074776811656996e-01,4.581413790741436287e+01,2.926008032128514813e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
5.813253012048194002e-01,6.599999999998580336e-01,9.848123184642481043e-01,4.585782616033151271e+01,2.976385542168675258e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
5.911646586345382648e-01,6.599999999998580336e-01,9.845364322100599308e-01,4.584497950554523271e+01,3.026763052208836058e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
6.010040160642571294e-01,6.599999999998580336e-01,9.842598862188907116e-01,4.583210213007926370e+01,3.077140562248996503e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
6.108433734939759940e-01,6.599999999998580336e-01,9.839826172390486736e-01,4.581919108861598033e+01,3.127518072289156947e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
6.206827309236948587e-01,6.599999999998580336e-01,9.837046633446978605e-01,4.580624815408038586e+01,3.177895582329317747e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
6.305220883534137233e-01,6.649999999998579270e-01,9.835150382052459950e-01,4.585017484124255560e+01,3.228273092369478547e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
6.403614457831326989e-01,6.649999999998579270e-01,9.832372129159433483e-01,4.583722299241969722e+01,3.278650602409639703e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
6.502008032128515636e-01,6.649999999998579270e-01,9.829587541317235111e-01,4.582424161089871717e+01,3.329028112449800147e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
6.600401606425704282e-01,6.649999999998579270e-01,9.826795596357702500e-01,4.581122593146637456e+01,3.379405622489960592e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
6.698795180722892928e-01,6.699999999998578204e-01,9.824946432657386541e-01,4.585536793893223262e+01,3.429783132530121037e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
6.797188755020081574e-01,6.699999999998578204e-01,9.822155804024667036e-01,4.584234340962702703e+01,3.480160642570281482e+01,9.760862832313952926e-04,4.580431662507599100e+01,1.024000000000000000e+03
