S_in,E_asymptotic_dB
5.000000000000000278e-02,-4.526570497267997872e+00
5.983935742971888128e-02,-4.511666829699304770e+00
6.967871485943775978e-02,-4.496746329579695001e+00
7.951807228915663828e-02,-4.481808997424433727e+00
8.935742971887550290e-02,-4.466854833827061277e+00
9.919678714859439528e-02,-4.451883839459320313e+00
1.090361445783132599e-01,-4.436896015071246424e+00
1.188755020080321384e-01,-4.421891361491029571e+00
1.287148594377510169e-01,-4.406869879625107345e+00
1.385542168674698815e-01,-4.391831570458047729e+00
1.483935742971887739e-01,-4.376776435052589953e+00
1.582329317269076663e-01,-4.361704474549622290e+00
1.680722891566265309e-01,-4.346615690168090573e+00
1.779116465863453955e-01,-4.331510083205072803e+00
1.877510040160642601e-01,-4.316387655035658355e+00
1.975903614457831803e-01,-4.301248407112961303e+00
2.074297188755020449e-01,-4.286092340968093772e+00
2.172690763052209095e-01,-4.270919458210105546e+00
2.271084337349397742e-01,-4.255729760525982286e+00
2.369477911646586388e-01,-4.240523249680567375e+00
2.467871485943775589e-01,-4.225299927516556586e+00
2.566265060240964235e-01,-4.210059795954450124e+00
2.664658634538152882e-01,-4.194802856992491336e+00
2.763052208835341528e-01,-4.179529112706648064e+00
2.861445783132530174e-01,-4.164238565250558466e+00
2.959839357429719375e-01,-4.148931216855464399e+00
3.058232931726908022e-01,-4.133607069830197212e+00
3.156626506024096668e-01,-4.118266126561092477e+00
3.255020080321285314e-01,-4.102908389511962461e+00
3.353413654618473960e-01,-4.087533861224032172e+00
3.451807228915663162e-01,-4.072142544315878077e+00
3.550200803212851808e-01,-4.056734441483376585e+00
3.648594377510040454e-01,-4.041309555499647210e+00
3.746987951807229100e-01,-4.025867889214987727e+00
3.845381526104417746e-01,-4.010409445556805785e+00
3.943775100401606948e-01,-3.994934227529564730e+00
4.042168674698795594e-01,-3.979442238214716099e+00
4.140562248995984240e-01,-3.963933480770626794e+00
4.238955823293172887e-01,-3.948407958432508025e+00
4.337349397590362088e-01,-3.932865674512350473e+00
4.435742971887550734e-01,-3.917306632398849686e+00
4.534136546184739380e-01,-3.901730835557331467e+00
4.632530120481928027e-01,-3.886138287529672830e+00
4.730923694779116673e-01,-3.870528991934227836e+00
4.829317269076305874e-01,-3.854902952465747212e+00
4.927710843373494520e-01,-3.839260172895301082e+00
5.026104417670683722e-01,-3.823600657070183484e+00
5.124497991967872368e-01,-3.807924408913843095e+00
5.222891566265061014e-01,-3.792231432425792192e+00
5.321285140562249660e-01,-3.776521731681516503e+00
5.419678714859438307e-01,-3.760795310832385496e+00
5.518072289156628063e-01,-3.745052174105564013e+00
5.616465863453816709e-01,-3.729292325803927444e+00
5.714859437751005355e-01,-3.713515770305949815e+00
5.813253012048194002e-01,-3.697722512065622080e+00
5.911646586345382648e-01,-3.681912555612352200e+00
6.010040160642571294e-01,-3.666085905550866109e+00
6.108433734939759940e-01,-3.650242566561100688e+00
6.206827309236948587e-01,-3.634382543398117171e+00
6.305220883534137233e-01,-3.618505840891979020e+00
6.403614457831326989e-01,-3.602612463947660437e+00
6.502008032128515636e-01,-3.586702417544933130e+00
6.600401606425704282e-01,-3.570775706738262834e+00
6.698795180722892928e-01,-3.554832336656692959e+00
6.797188755020081574e-01,-3.538872312503740680e+00
6.895582329317270220e-01,-3.522895639557273029e+00
6.993975903614458867e-01,-3.506902323169406976e+00
7.092369477911647513e-01,-3.490892368766385090e+00
7.190763052208836159e-01,-3.474865781848453850e+00
7.289156626506025916e-01,-3.458822567989753960e+00
7.387550200803214562e-01,-3.442762732838194228e+00
7.485943775100403208e-01,-3.426686282115329885e+00
7.584337349397591854e-01,-3.410593221616240900e+00
7.682730923694780500e-01,-3.394483557209404978e+00
7.781124497991969147e-01,-3.378357294836571434e+00
7.879518072289157793e-01,-3.362214440512631963e+00
7.977911646586346439e-01,-3.346055000325494966e+00
8.076305220883535085e-01,-3.329878980435949654e+00
8.174698795180724842e-01,-3.313686387077535933e+00
8.273092369477913488e-01,-3.297477226556411622e+00
8.371485943775102134e-01,-3.281251505251210787e+00
8.469879518072290780e-01,-3.265009229612918507e+00
8.568273092369479427e-01,-3.248750406164718996e+00
8.666666666666668073e-01,-3.232475041501863267e+00
8.765060240963856719e-01,-3.216183142291529240e+00
8.863453815261045365e-01,-3.199874715272675196e+00
8.961847389558234012e-01,-3.183549767255895446e+00
9.060240963855423768e-01,-3.167208305123278667e+00
9.158634538152612414e-01,-3.150850335828254689e+00
9.257028112449801061e-01,-3.134475866395454613e+00
9.355421686746989707e-01,-3.118084903920553153e+00
9.453815261044178353e-01,-3.101677455570121644e+00
9.552208835341366999e-01,-3.085253528581474836e+00
9.650602409638555645e-01,-3.068813130262515454e+00
9.748995983935744292e-01,-3.052356267991582328e+00
9.847389558232932938e-01,-3.035882949217289628e+00
9.945783132530121584e-01,-3.019393181458372766e+00
1.004417670682731023e+00,-3.002886972303524971e+00
1.014257028112449888e+00,-2.986364329411239638e+00
1.024096385542168752e+00,-2.969825260509646903e+00
1.033935742971887617e+00,-2.953269773396354658e+00
1.043775100401606482e+00,-2.936697875938274915e+00
1.053614457831325568e+00,-2.920109576071465707e+00
1.063453815261044433e+00,-2.903504881800961002e+00
1.073293172690763297e+00,-2.886883801200602839e+00
1.083132530120482162e+00,-2.870246342412868135e+00
1.092971887550201027e+00,-2.853592513648705697e+00
1.102811244979919891e+00,-2.836922323187352823e+00
1.112650602409638756e+00,-2.820235779376174534e+00
1.122489959839357621e+00,-2.803532890630471730e+00
1.132329317269076485e+00,-2.786813665433323095e+00
1.142168674698795350e+00,-2.770078112335397247e+00
1.152008032128514214e+00,-2.753326239954775545e+00
1.161847389558233079e+00,-2.736558056976772679e+00
1.171686746987951944e+00,-2.719773572153757257e+00
1.181526104417670808e+00,-2.702972794304967508e+00
1.191365461847389673e+00,-2.686155732316329203e+00
1.201204819277108538e+00,-2.669322395140269144e+00
1.211044176706827402e+00,-2.652472791795533524e+00
1.220883534136546489e+00,-2.635606931366992534e+00
1.230722891566265353e+00,-2.618724823005464497e+00
1.240562248995984218e+00,-2.601826475927514259e+00
1.250401606425703083e+00,-2.584911899415271108e+00
1.260240963855421947e+00,-2.567981102816232486e+00
1.270080321285140812e+00,-2.551034095543073921e+00
1.279919678714859677e+00,-2.534070887073453626e+00
1.289759036144578541e+00,-2.517091486949817103e+00
1.299598393574297406e+00,-2.500095904779206180e+00
1.309437751004016270e+00,-2.483084150233052068e+00
1.319277108433735135e+00,-2.466056233046984403e+00
1.329116465863454000e+00,-2.449012163020634070e+00
1.338955823293172864e+00,-2.431951950017423592e+00
1.348795180722891729e+00,-2.414875603964375284e+00
1.358634538152610594e+00,-2.397783134851898090e+00
1.368473895582329458e+00,-2.380674552733597071e+00
1.378313253012048323e+00,-2.363549867726058462e+00
1.388152610441767187e+00,-2.346409090008646281e+00
1.397991967871486052e+00,-2.329252229823302045e+00
1.407831325301205139e+00,-2.312079297474323614e+00
1.417670682730924003e+00,-2.294890303328174674e+00
1.427510040160642868e+00,-2.277685257813256481e+00
1.437349397590361733e+00,-2.260464171419711565e+00
1.447188755020080597e+00,-2.243227054699203471e+00
1.457028112449799462e+00,-2.225973918264708473e+00
1.466867469879518326e+00,-2.208704772790298865e+00
1.476706827309237191e+00,-2.191419629010934234e+00
1.486546184738956056e+00,-2.174118497722237642e+00
