S_in,E_required_dB,eta_required,gamma_effective_required,beta,q_active,gamma_target,Ka
5.000000000000000278e-02,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,8.947848533333333908e+05,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
5.983935742971888128e-02,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,1.070867013226238312e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
6.967871485943775978e-02,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,1.246949173119143350e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
7.951807228915663828e-02,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,1.423031333012048388e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
8.935742971887550290e-02,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,1.599113492904953193e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
9.919678714859439528e-02,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,1.775195652797858464e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
1.090361445783132599e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,1.951277812690763269e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
1.188755020080321384e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,2.127359972583668306e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
1.287148594377510169e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,2.303442132476573344e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
1.385542168674698815e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,2.479524292369477917e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
1.483935742971887739e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,2.655606452262383420e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
1.582329317269076663e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,2.831688612155288458e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
1.680722891566265309e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,3.007770772048193030e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
1.779116465863453955e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,3.183852931941098068e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
1.877510040160642601e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,3.359935091834002640e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
1.975903614457831803e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,3.536017251726908609e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
2.074297188755020449e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,3.712099411619813181e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
2.172690763052209095e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,3.888181571512718219e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
2.271084337349397742e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,4.064263731405622791e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
2.369477911646586388e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,4.240345891298527829e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
2.467871485943775589e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,4.416428051191433333e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
2.566265060240964235e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,4.592510211084337905e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
2.664658634538152882e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,4.768592370977242477e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
2.763052208835341528e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,4.944674530870147981e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
2.861445783132530174e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,5.120756690763052553e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
2.959839357429719375e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,5.296838850655958056e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
3.058232931726908022e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,5.472921010548862629e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
3.156626506024096668e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,5.649003170441767201e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
3.255020080321285314e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,5.825085330334672704e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
3.353413654618473960e-01,-1.500000000000095923e+00,1.000000000000000000e+00,8.495349412609466810e+01,6.001167490227577277e+06,9.313225741817976466e-10,8.489980487392529085e+01,1.073741824000000000e+09
