P_FA,P_MD_exact,P_MD_OR
9.999999999999999547e-07,1.852240276959250809e-01,1.921532233598783335e-01
1.023340212191642242e-06,1.839978699126802453e-01,1.908811952470985118e-01
1.047225189888435394e-06,1.827755946985474278e-01,1.896131949496018265e-01
1.071667648032864460e-06,1.815572189075729814e-01,1.883492399519412497e-01
1.096680598336867487e-06,1.803427592316309280e-01,1.870893475704307196e-01
1.122277356208507171e-06,1.791322321993370215e-01,1.858335349520183755e-01
1.148471547840288990e-06,1.779256541749715259e-01,1.845818190731691177e-01
1.175277117462945113e-06,1.767230413574127079e-01,1.833342167387582156e-01
1.202708334768512033e-06,1.755244097790823743e-01,1.820907445809774039e-01
1.230779802506665817e-06,1.743297753048993204e-01,1.808514190582490300e-01
1.259506464258358937e-06,1.731391536312475166e-01,1.796162564541559092e-01
1.288903612390891551e-06,1.719525602849528156e-01,1.783852728763794526e-01
1.318986896198669140e-06,1.707700106222707626e-01,1.771584842556498951e-01
1.349772330233941795e-06,1.695915198278880043e-01,1.759359063447101246e-01
1.381276302832009359e-06,1.684171029139323039e-01,1.747175547172888366e-01
1.413515584835395657e-06,1.672467747189976817e-01,1.735034447670889546e-01
1.446507338521647125e-06,1.660805499071759395e-01,1.722935917067832667e-01
1.480269126739510015e-06,1.649184429671070873e-01,1.710880105670290474e-01
1.514818922258347287e-06,1.637604682110348209e-01,1.698867161954883409e-01
1.550175117335768781e-06,1.626066397738807345e-01,1.686897232558675075e-01
1.586356533508589652e-06,1.614569716123233634e-01,1.674970462269618210e-01
1.623382431612278295e-06,1.603114775038979867e-01,1.663086994017214937e-01
1.661272522034292912e-06,1.591701710461015662e-01,1.651246968863233078e-01
1.700046975206718038e-06,1.580330656555152258e-01,1.639450525992602326e-01
1.739726432343802417e-06,1.569001745669359738e-01,1.627697802704404229e-01
1.780332016430115722e-06,1.557715108325254671e-01,1.615988934403044808e-01
1.821885343465165254e-06,1.546470873209668806e-01,1.604324054589506554e-01
1.864408533970485275e-06,1.535269167166390947e-01,1.592703294852779727e-01
1.907924224765265228e-06,1.524110115188019310e-01,1.581126784861412449e-01
1.952455581016861103e-06,1.512993840407951818e-01,1.569594652355199571e-01
1.998026308572550550e-06,1.501920464092512120e-01,1.558107023137015323e-01
2.044660666579117617e-06,1.490890105633208007e-01,1.546664021064781402e-01
2.092383480396979220e-06,1.479902882539146369e-01,1.535265768043597712e-01
2.141220154815731673e-06,1.468958910429551123e-01,1.523912384017981902e-01
2.191196687578147241e-06,1.458058303026446845e-01,1.512603986964278224e-01
2.242339683219845034e-06,1.447201172147490056e-01,1.501340692883219585e-01
2.294676367231935999e-06,1.436387627698900993e-01,1.490122615792598415e-01
2.348234600554276300e-06,1.425617777668596042e-01,1.478949867720138478e-01
2.403042894406969757e-06,1.414891728119415382e-01,1.467822558696469937e-01
2.459130425468046297e-06,1.404209583182513266e-01,1.456740796748274835e-01
2.516527051405389061e-06,1.393571445050911239e-01,1.445704687891595785e-01
2.575263326771198816e-06,1.382977413973165148e-01,1.434714336125268441e-01
2.635370519267393157e-06,1.372427588247197849e-01,1.423769843424522175e-01
2.696880626390692452e-06,1.361922064214300399e-01,1.412871309734757830e-01
2.759826392466180516e-06,1.351460936253237877e-01,1.402018832965432060e-01
2.824241326078435869e-06,1.341044296774551725e-01,1.391212508984147611e-01
2.890159717909511546e-06,1.330672236214979487e-01,1.380452431610862396e-01
2.957616658993256599e-06,1.320344843032056625e-01,1.369738692612292863e-01
3.026648059395689231e-06,1.310062203698842964e-01,1.359071381696438374e-01
3.097290667331406829e-06,1.299824402698836479e-01,1.348450586507309312e-01
3.169582088726115117e-06,1.289631522521006990e-01,1.337876392619772314e-01
3.243560807235811409e-06,1.279483643655024427e-01,1.327348883534600343e-01
3.319266204733189963e-06,1.269380844586607826e-01,1.316868140673648768e-01
3.396738582272209713e-06,1.259323201793067781e-01,1.306434243375229620e-01
3.476019181541981086e-06,1.249310789738974359e-01,1.296047268889618520e-01
3.557150206821382261e-06,1.239343680872016379e-01,1.285707292374758670e-01
3.640174847446137571e-06,1.229421945618993511e-01,1.275414386892103069e-01
3.725137300800209723e-06,1.219545652382001827e-01,1.265168623402657122e-01
3.812082795843888179e-06,1.209714867534744248e-01,1.254970070763151702e-01
3.901057617190992911e-06,1.199929655419036678e-01,1.244818795722417715e-01
3.992109129748053595e-06,1.190190078341472751e-01,1.234714862917926648e-01
4.085285803928565736e-06,1.180496196570222783e-01,1.224658334872469889e-01
4.180637241455762313e-06,1.170848068332046438e-01,1.214649271991058987e-01
4.278214201767612727e-06,1.161245749809434041e-01,1.204687732557960800e-01
4.378068629038166541e-06,1.151689295137936081e-01,1.194773772733926376e-01
4.480253679829489530e-06,1.142178756403646744e-01,1.184907446553580823e-01
4.584823751389096440e-06,1.132714183640865097e-01,1.175088805922996915e-01
4.691834510607799239e-06,1.123295624829917655e-01,1.165317900617436342e-01
4.801342923653455473e-06,1.113923125895163596e-01,1.155594778279279700e-01
4.913407286296366456e-06,1.104596730703157198e-01,1.145919484416120793e-01
5.028087254942474832e-06,1.095316481060981673e-01,1.136292062399038016e-01
5.145443878390924374e-06,1.086082416714759663e-01,1.126712553461048927e-01
5.265539630332755835e-06,1.076894575348341238e-01,1.117180996695749107e-01
5.388438442608223285e-06,1.067752992582144678e-01,1.107697429056110350e-01
5.514205739240301802e-06,1.058657701972192527e-01,1.098261885353479239e-01
5.642908471262542655e-06,1.049608735009308347e-01,1.088874398256745590e-01
5.774615152359826014e-06,1.040606121118492350e-01,1.079534998291692971e-01
5.909395895340977084e-06,1.031649887658459414e-01,1.070243713840520750e-01
6.047322449462642738e-06,1.022740059921375400e-01,1.061000571141569870e-01
6.188468238624383032e-06,1.013876661132744467e-01,1.051805594289206280e-01
6.332908400455114979e-06,1.005059712451485121e-01,1.042658805233899755e-01
6.480719826311970893e-06,9.962892329701814043e-02,1.033560223782484244e-01
