P_FA,P_MD_exact,P_MD_OR
9.999999999999999547e-07,5.906892069946255708e-01,6.127862463989192099e-01
1.023340212191642242e-06,5.889663870967988268e-01,6.109989869346151847e-01
1.047225189888435394e-06,5.872397280471127745e-01,6.092077444973066358e-01
1.071667648032864460e-06,5.855092541706827802e-01,6.074125443253866052e-01
1.096680598336867487e-06,5.837749900799068525e-01,6.056134119552305517e-01
1.122277356208507171e-06,5.820369606746615965e-01,6.038103732214009645e-01
1.148471547840288990e-06,5.802951911424749643e-01,6.020034542568267755e-01
1.175277117462945113e-06,5.785497069586750252e-01,6.001926814929583465e-01
1.202708334768512033e-06,5.768005338865161979e-01,5.983780816598990304e-01
1.230779802506665817e-06,5.750476979772782826e-01,5.965596817865082002e-01
1.259506464258358937e-06,5.732912255703469517e-01,5.947375092004855146e-01
1.288903612390891551e-06,5.715311432932638214e-01,5.929115915284235427e-01
1.318986896198669140e-06,5.697674780617554280e-01,5.910819566958377402e-01
1.349772330233941795e-06,5.680002570797371142e-01,5.892486329271716672e-01
1.381276302832009359e-06,5.662295078392902692e-01,5.874116487457732294e-01
1.413515584835395657e-06,5.644552581206162545e-01,5.855710329738484932e-01
1.446507338521647125e-06,5.626775359919610198e-01,5.837268147323825263e-01
1.480269126739510015e-06,5.608963698095210670e-01,5.818790234410432527e-01
1.514818922258347287e-06,5.591117882173139986e-01,5.800276888180477819e-01
1.550175117335768781e-06,5.573238201470337438e-01,5.781728408800119734e-01
1.586356533508589652e-06,5.555324948178665956e-01,5.763145099417608108e-01
1.623382431612278295e-06,5.537378417362940342e-01,5.744527266161241208e-01
1.661272522034292912e-06,5.519398906958599138e-01,5.725875218136946554e-01
1.700046975206718038e-06,5.501386717769115586e-01,5.707189267425617496e-01
1.739726432343802417e-06,5.483342153463165447e-01,5.688469729080163351e-01
1.780332016430115722e-06,5.465265520571518376e-01,5.669716921122297526e-01
1.821885343465165254e-06,5.447157128483616217e-01,5.650931164538989249e-01
1.864408533970485275e-06,5.429017289443912597e-01,5.632112783278673263e-01
1.907924224765265228e-06,5.410846318547914979e-01,5.613262104247145334e-01
1.952455581016861103e-06,5.392644533737946944e-01,5.594379457303172432e-01
1.998026308572550550e-06,5.374412255798615146e-01,5.575465175253795369e-01
2.044660666579117617e-06,5.356149808352008712e-01,5.556519593849346128e-01
2.092383480396979220e-06,5.337857517852607758e-01,5.537543051778185399e-01
2.141220154815731673e-06,5.319535713581876601e-01,5.518535890661079302e-01
2.191196687578147241e-06,5.301184727642591632e-01,5.499498455045330747e-01
