J,Ka,S_in,n,M,operator,denoiser,trials,E_required_dB,pmd,pfa,pmd_standard_error,pfa_standard_error,mean_iterations,converged_fraction,elapsed_seconds,seed,status,config_key,calibration_trials,evaluation_trials,pfa_calibration_factor,pfa_calibration_target,threshold_z,calibration_true_inactive,calibration_false_active,calibration_pfa,evaluation_true_active,evaluation_true_inactive,evaluation_missed_active,evaluation_false_active,pmd_upper_confidence,pfa_upper_confidence,confidence_level,pass_criterion,calibration_elapsed_seconds,evaluation_elapsed_seconds,calibration_method,schema_version,threshold_mode
15,181,0.25,86880,262144,hadamard,or,10,1.53125,0.004988913525498891,4.219396334802195e-05,0.0005864806500574143,4.022951679610089e-06,13.95,0.9,198.95285391807556,12345,ok,8d571adb2cabfe77,10,10,0.8,4.4189453125000005e-05,3.9167993059155215,2606995,115,4.411209074048857e-05,14432,2607008,72,110,0.00606647752332749,4.9435508477423344e-05,0.95,upper-confidence,2.7429311275482178,2.487349033355713,independent_streaming_empirical_quantile,2,calibrated
15,181,0.5,43440,262144,hadamard,or,10,1.671875,0.00491621659049993,3.3371717201163946e-05,0.0005820116233974922,3.577763932485696e-06,12.15,1.0,151.59635210037231,12345,ok,2d178b3362e16d78,10,10,0.8,4.4189453125000005e-05,3.971311992409011,2606990,115,4.411217534397907e-05,14442,2606998,71,87,0.005986398411030235,3.988381269815344e-05,0.95,upper-confidence,1.7371180057525635,1.4606280326843262,independent_streaming_empirical_quantile,2,calibrated
15,181,0.75,28960,262144,hadamard,or,10,1.59375,0.005056802438348573,4.334477430797958e-05,0.0005903556176540168,4.077445001849859e-06,16.3,0.95,129.62381601333618,12345,ok,1e65d4eff1b7b26a,10,10,0.8,4.4189453125000005e-05,3.923432134782626,2606994,115,4.411210766116071e-05,14436,2607004,73,113,0.006140663569244936,5.067565091460583e-05,0.95,upper-confidence,1.3025481700897217,1.3573098182678223,independent_streaming_empirical_quantile,2,calibrated
15,181,1.0,21720,262144,hadamard,or,10,nan,0.0,5.715375087792381e-05,0.0,4.682083904594673e-06,5.15,1.0,163.41924810409546,12345,ceiling_reached,bdcaa7382fc792de,10,10,0.8,4.4189453125000005e-05,3.8689868752661694,2606994,115,4.411210766116071e-05,14437,2607003,0,149,0.0002074822665474073,6.54762751350827e-05,0.95,upper-confidence,0.5993988513946533,0.40204620361328125,independent_streaming_empirical_quantile,2,calibrated
15,181,1.25,17376,262144,hadamard,or,10,1.6875,0.00512287988923503,4.1427006956284915e-05,0.0005939953364591655,3.986233031571311e-06,20.55,0.95,169.75896000862122,12345,ok,7f8b4e8e104ff38a,10,10,0.8,4.4189453125000005e-05,3.905895261631445,2606997,115,4.4112056899183235e-05,14445,2606995,74,108,0.006212613238505912,4.860836732476917e-05,0.95,upper-confidence,1.6136062145233154,1.6516749858856201,independent_streaming_empirical_quantile,2,calibrated
15,181,1.5,14480,262144,hadamard,or,10,1.65625,0.0050536517826237455,4.334492394500181e-05,0.0005899887289865533,4.077459077906647e-06,25.0,0.95,181.09401774406433,12345,ok,9c9683e85d593ba7,10,10,0.8,4.4189453125000005e-05,3.907290430203461,2607007,115,4.411188769343542e-05,14445,2606995,73,113,0.006136839693809726,5.0675825859009785e-05,0.95,upper-confidence,1.989844799041748,1.9205849170684814,independent_streaming_empirical_quantile,2,calibrated
15,181,1.75,12411,262144,hadamard,or,10,nan,0.0,4.833152665483695e-05,0.0,4.305610560294177e-06,9.15,0.95,194.69641089439392,12345,ceiling_reached,34578dfd9538f50f,10,10,0.8,4.4189453125000005e-05,3.913946954329775,2606991,115,4.411215842325501e-05,14446,2606994,0,126,0.0002073530164583717,5.6036517997955216e-05,0.95,upper-confidence,0.7102830410003662,0.792060136795044,independent_streaming_empirical_quantile,2,calibrated
15,181,2.0,10860,262144,hadamard,or,10,nan,0.0,5.024944437923524e-05,0.0,4.390204033096256e-06,10.5,0.95,203.26855874061584,12345,ceiling_reached,282b26297ddbcc00,10,10,0.8,4.4189453125000005e-05,3.916110107822894,2607005,115,4.411192153448114e-05,14446,2606994,0,131,0.0002073530164583717,5.8093170560749004e-05,0.95,upper-confidence,0.8657920360565186,0.8844318389892578,independent_streaming_empirical_quantile,2,calibrated
